Point,Time (s),Temperature (K)
0,1.500000e-02,10.135540
1,2.630000e-01,10.193023
2,5.130000e-01,10.224563
3,7.630000e-01,10.251319
4,1.011000e+00,10.273977
5,1.263000e+00,10.301193
6,1.509000e+00,10.315486
7,1.763000e+00,10.327285
8,2.016000e+00,10.340753
9,2.263000e+00,10.347297
10,2.512000e+00,10.352176
11,2.763000e+00,10.355612
12,3.012000e+00,10.358288
13,3.268000e+00,10.358707
14,3.510000e+00,10.358206
15,3.762000e+00,10.356926
16,4.013000e+00,10.353634
17,4.260000e+00,10.350891
18,4.512000e+00,10.347538
19,4.762000e+00,10.343886
20,5.008000e+00,10.337919
21,5.259000e+00,10.333383
22,5.511000e+00,10.328909
23,5.762000e+00,10.324352
24,6.011000e+00,10.317419
25,6.260000e+00,10.312688
26,6.511000e+00,10.307826
27,6.765000e+00,10.303087
28,7.011000e+00,10.295764
29,7.258000e+00,10.290849
30,7.511000e+00,10.285819
31,7.761000e+00,10.280581
32,8.012000e+00,10.272686
33,8.261000e+00,10.267097
34,8.511000e+00,10.261539
35,8.766000e+00,10.252842
36,9.011000e+00,10.246764
37,9.258000e+00,10.240652
38,9.512000e+00,10.234187
39,9.763000e+00,10.224142
40,1.001000e+01,10.217231
41,1.026200e+01,10.210157
42,1.051200e+01,10.202728
43,1.076200e+01,10.191232
44,1.100900e+01,10.183455
45,1.125700e+01,10.175377
46,1.151200e+01,10.167565
47,1.175800e+01,10.155746
48,1.201100e+01,10.147868
49,1.226200e+01,10.140202
50,1.251200e+01,10.132520
51,1.276200e+01,10.121240
52,1.301200e+01,10.113635
53,1.325700e+01,10.106060
54,1.351700e+01,10.098674
55,1.376000e+01,10.087568
56,1.401100e+01,10.080201
57,1.426100e+01,10.072678
58,1.451200e+01,10.065221
59,1.476100e+01,10.054050
60,1.501100e+01,10.046730
61,1.525800e+01,10.039347
62,1.551300e+01,10.032198
63,1.575800e+01,10.021783
64,1.601100e+01,10.015140
65,1.626200e+01,10.008732
66,1.651500e+01,9.999475
67,1.675700e+01,9.993547
68,1.701100e+01,9.987748
69,1.725700e+01,9.982132
70,1.751200e+01,9.974504
71,1.776100e+01,9.970362
72,1.801100e+01,9.966749
73,1.826100e+01,9.964046
74,1.851100e+01,9.961665
75,1.876000e+01,9.961318
76,1.901100e+01,9.961835
77,1.925800e+01,9.963384
78,1.951100e+01,9.966940
79,1.976000e+01,9.969986
80,2.001100e+01,9.973472
81,2.026200e+01,9.977124
82,2.051000e+01,9.983029
83,2.076200e+01,9.986908
84,2.101000e+01,9.990491
85,2.125700e+01,9.993707
86,2.151200e+01,9.997470
87,2.176100e+01,9.999416
88,2.201100e+01,10.000546
89,2.226000e+01,10.001030
90,2.251100e+01,10.000666
91,2.276100e+01,9.999599
92,2.301000e+01,9.998069
93,2.326200e+01,9.994821
94,2.351100e+01,9.992248
95,2.376000e+01,9.989562
96,2.401000e+01,9.986746
97,2.426300e+01,9.982648
98,2.451100e+01,9.980101
99,2.476100e+01,9.977878
100,2.501000e+01,9.976158
101,2.525700e+01,9.974310
102,2.550600e+01,9.973712
103,2.575700e+01,9.973645
104,2.601000e+01,9.974029
105,2.626000e+01,9.975413
106,2.651000e+01,9.976843
107,2.675700e+01,9.978396
108,2.700900e+01,9.980360
109,2.725600e+01,9.983360
110,2.751100e+01,9.985493
111,2.776100e+01,9.987350
112,2.800800e+01,9.989041
113,2.826000e+01,9.991000
114,2.851100e+01,9.991840
115,2.876000e+01,9.992298
116,2.901200e+01,9.992239
117,2.926000e+01,9.991202
118,2.951000e+01,9.990110
119,2.976100e+01,9.988608
120,3.001200e+01,9.986985
121,3.026100e+01,9.984290
122,3.051100e+01,9.982548
123,3.076000e+01,9.981006
124,3.101300e+01,9.979337
125,3.125700e+01,9.978770
126,3.151000e+01,9.978495
127,3.175700e+01,9.978623
128,3.201000e+01,9.979508
129,3.226000e+01,9.980594
130,3.251100e+01,9.981922
131,3.276100e+01,9.983566
132,3.301100e+01,9.986359
133,3.326000e+01,9.988180
134,3.350900e+01,9.990017
135,3.376000e+01,9.991627
136,3.400900e+01,9.993544
137,3.426000e+01,9.994596
138,3.451200e+01,9.995187
139,3.475700e+01,9.995466
140,3.501100e+01,9.995276
141,3.526200e+01,9.994464
142,3.550800e+01,9.993179
143,3.576300e+01,9.991515
144,3.601100e+01,9.988673
145,3.625800e+01,9.986467
146,3.651100e+01,9.984147
147,3.676200e+01,9.981880
148,3.700800e+01,9.978765
149,3.726100e+01,9.977115
150,3.751000e+01,9.975867
151,3.776500e+01,9.974611
152,3.801100e+01,9.974215
153,3.826100e+01,9.974185
154,3.850700e+01,9.974474
155,3.876100e+01,9.975307
156,3.901100e+01,9.976223
157,3.926100e+01,9.977239
158,3.951000e+01,9.978506
159,3.976000e+01,9.980414
160,4.001000e+01,9.981875
161,4.026000e+01,9.983391
162,4.051000e+01,9.984751
163,4.075600e+01,9.986868
164,4.101000e+01,9.988070
165,4.125600e+01,9.989322
166,4.151200e+01,9.990524
167,4.175800e+01,9.992005
168,4.201100e+01,9.992834
169,4.226100e+01,9.993544
170,4.251500e+01,9.994108
171,4.276100e+01,9.994273
172,4.301100e+01,9.994230
173,4.326100e+01,9.993836
174,4.351200e+01,9.993341
175,4.376000e+01,9.992303
176,4.401100e+01,9.991318
177,4.426000e+01,9.990442
178,4.451200e+01,9.989489
179,4.476000e+01,9.988150
180,4.501100e+01,9.987383
181,4.526000e+01,9.986495
182,4.551300e+01,9.985217
183,4.576200e+01,9.984398
184,4.601100e+01,9.983622
185,4.625700e+01,9.982603
186,4.651000e+01,9.980824
187,4.675700e+01,9.979598
188,4.700700e+01,9.978321
189,4.726000e+01,9.977055
190,4.750900e+01,9.975129
191,4.776100e+01,9.973983
192,4.801100e+01,9.973050
193,4.826000e+01,9.972361
194,4.851300e+01,9.971994
195,4.876900e+01,9.972139
196,4.901200e+01,9.972570
197,4.926700e+01,9.973465
198,4.951200e+01,9.975440
199,4.976000e+01,9.977176
200,5.001000e+01,9.979057
201,5.026300e+01,9.981044
