Point,Time (s),Temperature (K)
0,1.000000e-02,7.841915
1,2.600000e-01,7.843890
2,5.110000e-01,7.857069
3,7.600000e-01,7.865376
4,1.010000e+00,7.867174
5,1.261000e+00,7.867300
6,1.510000e+00,7.867399
7,1.758000e+00,7.868490
8,2.010000e+00,7.870043
9,2.260000e+00,7.872157
10,2.508000e+00,7.872238
11,2.759000e+00,7.868905
12,3.010000e+00,7.866672
13,3.259000e+00,7.866833
14,3.510000e+00,7.872831
15,3.757000e+00,7.874271
16,4.010000e+00,7.874125
17,4.266000e+00,7.881778
18,4.509000e+00,7.891506
19,4.760000e+00,7.897889
20,5.010000e+00,7.898559
21,5.262000e+00,7.908323
22,5.511000e+00,7.935407
23,5.760000e+00,7.950596
24,6.010000e+00,7.969150
25,6.262000e+00,7.991045
26,6.511000e+00,8.034684
27,6.757000e+00,8.073017
28,7.011000e+00,8.114392
29,7.259000e+00,8.174579
30,7.511000e+00,8.209149
31,7.758000e+00,8.246184
32,8.011000e+00,8.287997
33,8.261000e+00,8.364232
34,8.510000e+00,8.420445
35,8.760000e+00,8.474373
36,9.010000e+00,8.526427
37,9.260000e+00,8.589807
38,9.511000e+00,8.638649
39,9.760000e+00,8.691623
40,1.000700e+01,8.744350
41,1.025800e+01,8.813889
42,1.051000e+01,8.857559
43,1.076100e+01,8.899676
44,1.100700e+01,8.939881
45,1.126100e+01,9.002255
46,1.150600e+01,9.039364
47,1.176000e+01,9.077120
48,1.201200e+01,9.119236
49,1.226000e+01,9.178099
50,1.252800e+01,9.212383
51,1.276000e+01,9.247547
52,1.301300e+01,9.282128
53,1.326000e+01,9.338498
54,1.351100e+01,9.374435
55,1.376000e+01,9.406869
56,1.401400e+01,9.455188
57,1.426000e+01,9.487884
58,1.451000e+01,9.519858
59,1.476000e+01,9.554291
60,1.501000e+01,9.605668
61,1.525800e+01,9.633106
62,1.551000e+01,9.654742
63,1.575600e+01,9.671843
64,1.601000e+01,9.701307
65,1.625700e+01,9.725248
66,1.651000e+01,9.748633
67,1.677300e+01,9.773433
68,1.700800e+01,9.809288
69,1.726200e+01,9.830392
