Point,Time (s),Temperature (K)
0,1.200000e-02,7.983839
1,2.590000e-01,7.980704
2,5.090000e-01,7.976309
3,7.590000e-01,7.970210
4,1.016000e+00,7.966949
5,1.260000e+00,7.973388
6,1.511000e+00,7.976336
7,1.760000e+00,7.980215
8,2.013000e+00,7.977893
9,2.260000e+00,7.971229
10,2.511000e+00,7.970260
11,2.759000e+00,7.973002
12,3.015000e+00,8.017727
13,3.259000e+00,8.074389
14,3.510000e+00,8.143032
15,3.761000e+00,8.218885
16,4.012000e+00,8.355065
17,4.262000e+00,8.460578
18,4.511000e+00,8.574494
19,4.760000e+00,8.690872
20,5.011000e+00,8.870253
21,5.258000e+00,8.990674
22,5.511000e+00,9.108381
23,5.759000e+00,9.225906
24,6.010000e+00,9.398783
25,6.261000e+00,9.512120
26,6.512000e+00,9.626375
27,6.760000e+00,9.739758
28,7.010000e+00,9.894023
29,7.261000e+00,9.988425
30,7.517000e+00,10.078370
31,7.767000e+00,10.160645
32,8.014000e+00,10.275921
33,8.263000e+00,10.345798
34,8.512000e+00,10.410406
35,8.763000e+00,10.467411
36,9.013000e+00,10.534781
37,9.263000e+00,10.566619
38,9.511000e+00,10.591581
39,9.763000e+00,10.613723
40,1.000900e+01,10.643272
41,1.026300e+01,10.654035
42,1.050900e+01,10.656653
43,1.076200e+01,10.652274
44,1.102600e+01,10.643390
45,1.126000e+01,10.628549
46,1.151000e+01,10.608339
47,1.176000e+01,10.570579
48,1.200800e+01,10.537315
49,1.225800e+01,10.502115
50,1.251000e+01,10.466421
51,1.276000e+01,10.400558
52,1.300900e+01,10.354837
53,1.326200e+01,10.305835
54,1.351100e+01,10.258754
55,1.376100e+01,10.192377
56,1.400800e+01,10.152072
57,1.425800e+01,10.111061
58,1.451000e+01,10.069158
59,1.475800e+01,10.012432
60,1.500800e+01,9.980839
61,1.527100e+01,9.948540
62,1.551600e+01,9.919321
63,1.575900e+01,9.880186
64,1.600900e+01,9.854069
65,1.625800e+01,9.832058
66,1.651400e+01,9.814910
67,1.675900e+01,9.796058
68,1.700900e+01,9.787494
69,1.725800e+01,9.780069
70,1.751500e+01,9.778530
71,1.776000e+01,9.784754
72,1.801000e+01,9.793308
73,1.826000e+01,9.802723
74,1.850900e+01,9.819541
75,1.875800e+01,9.835875
76,1.900800e+01,9.853332
77,1.925800e+01,9.871375
78,1.951200e+01,9.890469
79,1.976100e+01,9.906554
80,2.001000e+01,9.929829
81,2.026100e+01,9.951868
82,2.050700e+01,9.977834
83,2.076100e+01,9.992910
84,2.100800e+01,10.009085
85,2.126200e+01,10.026918
86,2.150800e+01,10.055291
87,2.175800e+01,10.070851
88,2.200900e+01,10.084843
89,2.225900e+01,10.095982
90,2.250900e+01,10.117934
91,2.275900e+01,10.128754
92,2.300800e+01,10.137741
93,2.326200e+01,10.143807
94,2.350900e+01,10.149467
95,2.375800e+01,10.152052
96,2.400800e+01,10.156815
97,2.428000e+01,10.157451
98,2.450900e+01,10.155351
99,2.475900e+01,10.151992
100,2.500900e+01,10.149508
101,2.526100e+01,10.148831
102,2.550900e+01,10.146945
103,2.575800e+01,10.141086
104,2.601000e+01,10.132854
105,2.626000e+01,10.115390
106,2.650900e+01,10.107235
107,2.675800e+01,10.097594
108,2.700900e+01,10.088476
109,2.725900e+01,10.077055
110,2.750900e+01,10.072996
111,2.775800e+01,10.069009
112,2.800800e+01,10.066372
113,2.825900e+01,10.060620
114,2.852100e+01,10.052649
115,2.875800e+01,10.044422
116,2.901200e+01,10.034030
117,2.926000e+01,10.015674
118,2.950800e+01,10.009176
119,2.975800e+01,10.004561
120,3.001400e+01,10.001514
121,3.025700e+01,9.997551
122,3.050900e+01,9.993327
123,3.075800e+01,9.989359
124,3.101300e+01,9.987809
125,3.126000e+01,9.985051
126,3.151000e+01,9.982197
127,3.175800e+01,9.983696
128,3.201400e+01,9.986557
129,3.225800e+01,9.985705
130,3.250800e+01,9.983219
131,3.276000e+01,9.979279
132,3.300900e+01,9.966882
133,3.325900e+01,9.959126
134,3.350900e+01,9.955201
135,3.376000e+01,9.957219
136,3.401100e+01,9.971690
137,3.426100e+01,9.981325
138,3.450800e+01,9.987335
139,3.475700e+01,9.992005
140,3.500900e+01,9.992047
141,3.525700e+01,9.991088
142,3.550900e+01,9.989320
143,3.576000e+01,9.990860
144,3.601000e+01,9.992873
145,3.625700e+01,9.994572
146,3.650800e+01,9.998985
147,3.675800e+01,10.002651
148,3.700900e+01,10.002161
149,3.725800e+01,10.000497
150,3.752600e+01,10.004360
151,3.776300e+01,10.004730
152,3.801000e+01,10.004702
153,3.826100e+01,10.007502
154,3.851000e+01,10.011949
155,3.877200e+01,10.015667
156,3.900900e+01,10.016748
157,3.926100e+01,10.017568
158,3.951100e+01,10.022696
159,3.976000e+01,10.026978
160,4.001100e+01,10.030326
161,4.025900e+01,10.030207
162,4.051000e+01,10.026557
163,4.075900e+01,10.022750
164,4.100800e+01,10.021758
165,4.125800e+01,10.022833
166,4.150800e+01,10.025542
167,4.177000e+01,10.023806
168,4.200800e+01,10.020335
169,4.226000e+01,10.019257
170,4.250800e+01,10.019044
171,4.276000e+01,10.018649
172,4.301200e+01,10.014978
173,4.325800e+01,10.008859
174,4.351200e+01,10.000710
175,4.376100e+01,9.997290
176,4.400900e+01,9.998748
177,4.426400e+01,9.998812
178,4.451500e+01,9.996934
179,4.476100e+01,9.988146
180,4.500800e+01,9.980883
