Point,Time (s),Temperature (K)
0,1.100000e-02,7.986830
1,2.590000e-01,7.985012
2,5.080000e-01,7.987360
3,7.640000e-01,7.999243
4,1.008000e+00,8.005621
5,1.260000e+00,8.009176
6,1.509000e+00,8.008796
7,1.760000e+00,7.992236
8,2.009000e+00,7.980437
9,2.258000e+00,7.969958
10,2.514000e+00,7.967570
11,2.759000e+00,7.967491
12,3.009000e+00,7.971009
13,3.259000e+00,7.984481
14,3.517000e+00,8.040271
15,3.760000e+00,8.087167
16,4.008000e+00,8.143623
17,4.260000e+00,8.214442
18,4.510000e+00,8.335313
19,4.761000e+00,8.423102
20,5.009000e+00,8.513623
21,5.259000e+00,8.614080
22,5.508000e+00,8.769412
23,5.759000e+00,8.873632
24,6.009000e+00,8.976031
25,6.259000e+00,9.077649
26,6.511000e+00,9.228562
27,6.761000e+00,9.329772
28,7.008000e+00,9.425714
29,7.260000e+00,9.518891
30,7.508000e+00,9.648545
31,7.759000e+00,9.730935
32,8.009000e+00,9.812150
33,8.258000e+00,9.887124
34,8.509000e+00,9.997297
35,8.759000e+00,10.073576
36,9.013000e+00,10.144651
37,9.275000e+00,10.208354
38,9.509000e+00,10.294122
39,9.760000e+00,10.342773
40,1.001200e+01,10.385743
41,1.026400e+01,10.423724
42,1.050900e+01,10.472327
43,1.076200e+01,10.497025
44,1.101000e+01,10.519471
45,1.126300e+01,10.549220
46,1.150900e+01,10.557711
47,1.176000e+01,10.561798
48,1.201000e+01,10.563734
49,1.226100e+01,10.559216
50,1.250800e+01,10.552065
51,1.275900e+01,10.541842
52,1.300900e+01,10.527751
53,1.325800e+01,10.506899
54,1.352000e+01,10.488892
55,1.375900e+01,10.467206
56,1.400900e+01,10.445256
57,1.426100e+01,10.409733
58,1.450800e+01,10.387441
59,1.475900e+01,10.365337
60,1.500900e+01,10.339458
61,1.525800e+01,10.295433
62,1.551100e+01,10.270338
63,1.575800e+01,10.248301
64,1.601700e+01,10.225415
65,1.626200e+01,10.190321
66,1.650900e+01,10.171134
67,1.676000e+01,10.155135
68,1.701300e+01,10.136387
69,1.725800e+01,10.106740
70,1.751100e+01,10.086226
71,1.776000e+01,10.065043
72,1.801400e+01,10.035132
73,1.825800e+01,10.023601
74,1.851000e+01,10.013931
75,1.875900e+01,10.001130
76,1.901000e+01,9.981141
77,1.926000e+01,9.974966
78,1.950800e+01,9.972781
79,1.975800e+01,9.968987
80,2.001000e+01,9.960763
81,2.025800e+01,9.962548
82,2.051000e+01,9.964952
83,2.075900e+01,9.968727
84,2.101100e+01,9.979240
85,2.126100e+01,9.988634
86,2.150800e+01,9.990627
87,2.175800e+01,9.991425
88,2.201100e+01,9.994882
89,2.226100e+01,9.999294
90,2.251200e+01,10.002035
91,2.275800e+01,10.008530
92,2.300800e+01,10.023195
93,2.325800e+01,10.029808
94,2.350800e+01,10.034191
95,2.376300e+01,10.040544
96,2.400800e+01,10.051495
97,2.425800e+01,10.054593
98,2.450700e+01,10.057022
99,2.476300e+01,10.058713
100,2.500700e+01,10.062003
101,2.525800e+01,10.068055
102,2.550800e+01,10.079077
103,2.576100e+01,10.082539
104,2.600800e+01,10.084466
105,2.626000e+01,10.090096
106,2.650900e+01,10.089211
107,2.676200e+01,10.084936
108,2.701000e+01,10.086208
109,2.726000e+01,10.088672
110,2.751000e+01,10.088787
111,2.775800e+01,10.081467
112,2.800800e+01,10.069982
113,2.826000e+01,10.062626
114,2.850900e+01,10.064490
115,2.875900e+01,10.072293
116,2.901200e+01,10.070231
117,2.926300e+01,10.068035
118,2.950900e+01,10.065822
119,2.975900e+01,10.065824
120,3.000900e+01,10.066408
121,3.026100e+01,10.066823
122,3.051500e+01,10.065842
123,3.075900e+01,10.062851
124,3.101300e+01,10.059414
125,3.126400e+01,10.053840
126,3.151800e+01,10.042692
127,3.176600e+01,10.037569
128,3.201700e+01,10.032574
129,3.227200e+01,10.023845
130,3.251400e+01,10.007071
131,3.276300e+01,9.998886
132,3.301500e+01,9.996364
133,3.326700e+01,9.999229
134,3.351800e+01,10.001472
135,3.377000e+01,10.004327
136,3.401500e+01,10.008988
137,3.427800e+01,10.014490
138,3.451500e+01,10.015213
139,3.476600e+01,10.013252
140,3.501600e+01,10.012209
141,3.527500e+01,10.011013
142,3.551800e+01,10.002324
143,3.575800e+01,9.990574
144,3.602000e+01,9.981887
145,3.626000e+01,9.978723
146,3.651100e+01,9.981549
147,3.676200e+01,9.982477
148,3.701100e+01,9.983907
149,3.726600e+01,9.984259
150,3.751100e+01,9.984838
151,3.776100e+01,9.988170
152,3.801100e+01,9.984520
153,3.826600e+01,9.981297
154,3.850900e+01,9.982491
155,3.876100e+01,9.987166
156,3.901100e+01,9.989359
157,3.927600e+01,9.989249
158,3.951300e+01,9.991885
159,3.976300e+01,9.999799
160,4.001600e+01,10.008790
161,4.026800e+01,10.025235
162,4.051900e+01,10.031680
163,4.076400e+01,10.032415
164,4.101000e+01,10.027390
165,4.126200e+01,10.019127
166,4.152000e+01,10.018422
167,4.176100e+01,10.016774
168,4.202800e+01,10.015177
169,4.226700e+01,10.010934
170,4.251800e+01,10.008493
171,4.275900e+01,10.012080
172,4.301000e+01,10.020399
173,4.326200e+01,10.028143
174,4.352600e+01,10.031702
175,4.376200e+01,10.030230
176,4.402000e+01,10.025295
177,4.426900e+01,10.016534
178,4.451700e+01,10.012176
179,4.476900e+01,10.013227
180,4.501800e+01,10.016070
181,4.526600e+01,10.020809
182,4.551600e+01,10.020922
183,4.577000e+01,10.017872
184,4.601900e+01,10.011691
185,4.626700e+01,10.010704
186,4.652000e+01,10.008605
187,4.676900e+01,10.005538
188,4.702100e+01,9.996833
189,4.726100e+01,9.991029
190,4.751300e+01,9.990673
191,4.776300e+01,9.995141
192,4.802000e+01,9.998567
193,4.826500e+01,9.996220
194,4.851100e+01,9.993251
195,4.876100e+01,9.994776
196,4.900900e+01,9.995713
197,4.926100e+01,9.993164
198,4.951100e+01,9.991627
199,4.976100e+01,9.987475
200,5.001200e+01,9.978449
201,5.025800e+01,9.977174
202,5.051000e+01,9.979239
203,5.076100e+01,9.983965
204,5.101100e+01,9.988244
