Point,Time (s),Temperature (K)
0,1.100000e-02,8.105207
1,2.560000e-01,8.094330
2,5.100000e-01,8.085908
3,7.600000e-01,8.087296
4,1.009000e+00,8.090548
5,1.264000e+00,8.091888
6,1.507000e+00,8.083961
7,1.757000e+00,8.073647
8,2.010000e+00,8.073973
9,2.261000e+00,8.081206
10,2.510000e+00,8.100074
11,2.757000e+00,8.118722
12,3.010000e+00,8.133912
13,3.269000e+00,8.167754
14,3.506000e+00,8.194954
15,3.760000e+00,8.232189
16,4.010000e+00,8.276487
17,4.260000e+00,8.353288
18,4.511000e+00,8.402125
19,4.761000e+00,8.450199
20,5.011000e+00,8.501572
21,5.258000e+00,8.583016
22,5.510000e+00,8.642727
23,5.760000e+00,8.708249
24,6.009000e+00,8.772538
25,6.261000e+00,8.865767
26,6.507000e+00,8.930707
27,6.761000e+00,8.996340
28,7.007000e+00,9.061151
29,7.261000e+00,9.153548
30,7.509000e+00,9.207139
31,7.760000e+00,9.258023
32,8.011000e+00,9.311508
33,8.261000e+00,9.394974
34,8.510000e+00,9.451108
35,8.760000e+00,9.504223
36,9.013000e+00,9.555186
37,9.261000e+00,9.633698
38,9.511000e+00,9.685853
39,9.760000e+00,9.734294
40,1.001200e+01,9.786178
41,1.026100e+01,9.864584
42,1.051100e+01,9.910489
43,1.075700e+01,9.954260
44,1.101400e+01,10.014404
45,1.125900e+01,10.052637
46,1.151200e+01,10.090053
47,1.175800e+01,10.127669
48,1.201300e+01,10.182317
49,1.226800e+01,10.218183
50,1.251200e+01,10.257656
51,1.276300e+01,10.295769
52,1.301200e+01,10.349350
53,1.325900e+01,10.383277
54,1.351200e+01,10.414610
55,1.376000e+01,10.444022
56,1.401200e+01,10.478481
57,1.426300e+01,10.497269
58,1.451200e+01,10.515623
59,1.476700e+01,10.526333
60,1.501200e+01,10.542079
61,1.526000e+01,10.553898
62,1.550900e+01,10.563134
63,1.576300e+01,10.573089
64,1.600900e+01,10.589433
65,1.626300e+01,10.604770
66,1.652000e+01,10.620787
67,1.676100e+01,10.635641
68,1.701200e+01,10.649107
69,1.726200e+01,10.656445
70,1.751200e+01,10.662785
71,1.776800e+01,10.671463
72,1.801200e+01,10.674847
73,1.826200e+01,10.677036
74,1.851200e+01,10.679367
75,1.876300e+01,10.679992
76,1.901100e+01,10.676490
77,1.925900e+01,10.672762
78,1.951000e+01,10.665698
79,1.975700e+01,10.657962
80,2.001100e+01,10.649475
81,2.025800e+01,10.641523
82,2.051100e+01,10.634784
83,2.075900e+01,10.624557
84,2.101100e+01,10.616577
85,2.126100e+01,10.607019
86,2.150700e+01,10.596906
87,2.176100e+01,10.584889
88,2.201100e+01,10.575342
89,2.226100e+01,10.563287
90,2.251600e+01,10.550372
91,2.276100e+01,10.532057
92,2.301100e+01,10.521865
93,2.325900e+01,10.510148
94,2.351300e+01,10.495744
95,2.375700e+01,10.469126
96,2.400800e+01,10.455786
97,2.426200e+01,10.440692
98,2.451100e+01,10.420307
99,2.476200e+01,10.388247
100,2.500700e+01,10.369893
101,2.525700e+01,10.353165
102,2.551300e+01,10.324934
103,2.576200e+01,10.306301
104,2.601100e+01,10.290248
105,2.626200e+01,10.272410
106,2.651100e+01,10.239138
107,2.675700e+01,10.222245
108,2.701200e+01,10.207915
109,2.726100e+01,10.194552
110,2.751100e+01,10.168658
111,2.776100e+01,10.148404
112,2.801100e+01,10.128679
113,2.825800e+01,10.109906
114,2.851100e+01,10.080559
115,2.875700e+01,10.066751
116,2.901100e+01,10.057595
117,2.925800e+01,10.047524
118,2.951100e+01,10.028681
119,2.976800e+01,10.010476
120,3.001100e+01,9.994583
121,3.026400e+01,9.976850
122,3.051100e+01,9.957328
123,3.076100e+01,9.945224
124,3.101000e+01,9.936833
125,3.126300e+01,9.933352
126,3.151000e+01,9.934172
127,3.175900e+01,9.932610
128,3.201100e+01,9.924067
129,3.226400e+01,9.910247
130,3.250700e+01,9.905511
131,3.276100e+01,9.900829
132,3.300800e+01,9.894356
133,3.325700e+01,9.881413
134,3.350500e+01,9.872431
135,3.376000e+01,9.865053
136,3.400800e+01,9.856267
137,3.426100e+01,9.845896
138,3.451100e+01,9.842067
139,3.476000e+01,9.838863
140,3.501100e+01,9.834410
141,3.525600e+01,9.831022
142,3.551000e+01,9.827044
143,3.576000e+01,9.825875
144,3.601000e+01,9.826033
145,3.626000e+01,9.826612
146,3.651000e+01,9.830422
147,3.676000e+01,9.833517
148,3.701500e+01,9.831651
149,3.725700e+01,9.834037
150,3.751100e+01,9.841347
151,3.775600e+01,9.842893
152,3.801200e+01,9.842834
153,3.825600e+01,9.847178
154,3.851100e+01,9.849981
155,3.876000e+01,9.855196
156,3.901600e+01,9.864091
157,3.926100e+01,9.866031
158,3.951300e+01,9.862752
159,3.976200e+01,9.855678
160,4.001400e+01,9.849083
161,4.026200e+01,9.847322
162,4.051200e+01,9.845946
163,4.076200e+01,9.846597
164,4.101200e+01,9.845306
165,4.126200e+01,9.843388
166,4.151100e+01,9.850965
167,4.176300e+01,9.857286
168,4.201000e+01,9.865800
169,4.225900e+01,9.874567
170,4.250900e+01,9.879855
171,4.276200e+01,9.887256
172,4.301900e+01,9.899032
173,4.326100e+01,9.903913
174,4.351100e+01,9.908623
175,4.376600e+01,9.912645
176,4.401000e+01,9.924026
177,4.426100e+01,9.929147
178,4.450800e+01,9.935425
179,4.476400e+01,9.945246
180,4.501000e+01,9.953496
181,4.525900e+01,9.953174
182,4.550900e+01,9.950523
183,4.576200e+01,9.951015
184,4.601000e+01,9.958721
185,4.625700e+01,9.961864
186,4.650800e+01,9.963797
187,4.676000e+01,9.964796
188,4.700900e+01,9.964929
189,4.725900e+01,9.967929
190,4.750900e+01,9.973025
191,4.776100e+01,9.977255
192,4.800900e+01,9.978137
193,4.826000e+01,9.982263
194,4.850800e+01,9.986210
195,4.875900e+01,9.992428
196,4.900600e+01,9.994419
197,4.926100e+01,9.997978
198,4.951000e+01,10.001260
199,4.975700e+01,10.004406
200,5.001000e+01,10.006314
201,5.025600e+01,10.010528
202,5.050700e+01,10.015021
203,5.076000e+01,10.017391
204,5.100700e+01,10.023958
205,5.126100e+01,10.029952
206,5.150700e+01,10.034107
207,5.176200e+01,10.039317
208,5.202400e+01,10.043905
209,5.225800e+01,10.048678
210,5.251200e+01,10.047760
211,5.276200e+01,10.046710
212,5.301200e+01,10.044146
213,5.326100e+01,10.042336
214,5.351700e+01,10.042393
215,5.376200e+01,10.037774
216,5.401100e+01,10.036487
217,5.426200e+01,10.040312
218,5.451200e+01,10.043634
219,5.476100e+01,10.040302
220,5.501200e+01,10.040387
221,5.525900e+01,10.040148
222,5.551300e+01,10.039210
223,5.575800e+01,10.038516
224,5.601300e+01,10.037519
225,5.626400e+01,10.038687
226,5.651000e+01,10.042461
227,5.676200e+01,10.040743
228,5.701300e+01,10.038526
229,5.726300e+01,10.037210
230,5.751300e+01,10.036098
231,5.776300e+01,10.038251
232,5.801300e+01,10.037533
233,5.826600e+01,10.032336
234,5.850900e+01,10.025200
235,5.876300e+01,10.024839
236,5.901200e+01,10.024074
237,5.926300e+01,10.024728
238,5.951000e+01,10.030550
239,5.975900e+01,10.035780
240,6.000900e+01,10.039018
241,6.026300e+01,10.041615
242,6.050900e+01,10.044319
243,6.076200e+01,10.046929
244,6.101100e+01,10.049386
245,6.126500e+01,10.045919
246,6.151200e+01,10.041057
247,6.176100e+01,10.034345
248,6.201100e+01,10.028687
249,6.225600e+01,10.027019
250,6.250600e+01,10.022482
251,6.276200e+01,10.017726
252,6.301200e+01,10.014523
253,6.326100e+01,10.015177
254,6.351200e+01,10.011277
255,6.375700e+01,10.008617
256,6.401100e+01,10.005914
257,6.425800e+01,10.002560
258,6.451100e+01,9.999066
259,6.475600e+01,9.996465
260,6.501100e+01,9.998058
261,6.527400e+01,10.001185
262,6.551100e+01,10.003977
263,6.576100e+01,10.007216
264,6.601400e+01,10.009914
265,6.626200e+01,10.017269
266,6.651000e+01,10.015829
267,6.676200e+01,10.014315
268,6.701200e+01,10.014540
269,6.725900e+01,10.011678
270,6.751100e+01,10.011961
271,6.776100e+01,10.009632
