Point,Time (s),Temperature (K)
0,1.000000e-02,7.942732
1,2.620000e-01,7.943762
2,5.120000e-01,7.947093
3,7.670000e-01,7.948245
4,1.010000e+00,7.948784
5,1.262000e+00,7.948930
6,1.513000e+00,7.942222
7,1.761000e+00,7.940128
8,2.012000e+00,7.942589
9,2.262000e+00,7.945354
10,2.513000e+00,7.945539
11,2.762000e+00,7.949575
12,3.009000e+00,7.956514
13,3.262000e+00,7.960205
14,3.509000e+00,7.960537
15,3.762000e+00,7.956200
16,4.029000e+00,7.950151
17,4.262000e+00,7.947608
18,4.512000e+00,7.951215
19,4.762000e+00,7.952242
20,5.009000e+00,7.953928
21,5.263000e+00,7.954144
22,5.519000e+00,7.958797
23,5.764000e+00,7.992362
24,6.012000e+00,8.024075
25,6.260000e+00,8.055620
26,6.515000e+00,8.097031
27,6.760000e+00,8.180725
28,7.012000e+00,8.241689
29,7.261000e+00,8.304408
30,7.514000e+00,8.373979
31,7.759000e+00,8.480946
32,8.013000e+00,8.552113
33,8.259000e+00,8.626241
34,8.514000e+00,8.742321
35,8.763000e+00,8.818127
36,9.012000e+00,8.893096
37,9.261000e+00,8.970987
38,9.509000e+00,9.095711
39,9.763000e+00,9.176707
40,1.001100e+01,9.253213
41,1.026300e+01,9.327159
42,1.051400e+01,9.434923
43,1.076300e+01,9.507804
44,1.101100e+01,9.576790
45,1.126300e+01,9.641422
46,1.151400e+01,9.724453
47,1.176300e+01,9.774434
48,1.201200e+01,9.822129
49,1.226400e+01,9.868333
50,1.251000e+01,9.934151
51,1.276400e+01,9.975021
52,1.301000e+01,10.014836
53,1.326600e+01,10.051494
54,1.351100e+01,10.096469
55,1.376500e+01,10.127772
56,1.403000e+01,10.157406
57,1.426800e+01,10.181766
58,1.451100e+01,10.216367
59,1.476800e+01,10.238779
60,1.501500e+01,10.258956
61,1.527200e+01,10.284952
62,1.551500e+01,10.297306
63,1.576800e+01,10.307409
64,1.601500e+01,10.315714
65,1.626200e+01,10.329705
66,1.651500e+01,10.336205
67,1.676700e+01,10.339621
68,1.701500e+01,10.342189
69,1.726200e+01,10.339201
70,1.751300e+01,10.337698
71,1.775900e+01,10.339010
72,1.801300e+01,10.341688
73,1.827500e+01,10.345873
74,1.851300e+01,10.345149
75,1.876300e+01,10.341605
76,1.901300e+01,10.338511
77,1.926400e+01,10.334934
78,1.951300e+01,10.331415
79,1.976300e+01,10.330204
80,2.001900e+01,10.324764
81,2.026300e+01,10.308506
82,2.051300e+01,10.297633
83,2.076300e+01,10.287747
84,2.101600e+01,10.280295
85,2.126000e+01,10.266076
86,2.151100e+01,10.259138
87,2.176400e+01,10.251813
88,2.201400e+01,10.246050
89,2.226300e+01,10.237095
90,2.251400e+01,10.229046
91,2.276300e+01,10.224078
92,2.301500e+01,10.219526
93,2.326100e+01,10.218182
94,2.351300e+01,10.215995
95,2.376300e+01,10.208648
96,2.401300e+01,10.202383
97,2.426300e+01,10.200968
98,2.451300e+01,10.198038
99,2.476300e+01,10.193851
100,2.501300e+01,10.181314
101,2.526300e+01,10.174685
102,2.551000e+01,10.172944
103,2.576000e+01,10.171722
104,2.601200e+01,10.167578
105,2.625900e+01,10.159928
106,2.650900e+01,10.152968
107,2.676200e+01,10.147926
108,2.701300e+01,10.142223
109,2.728000e+01,10.142701
110,2.751300e+01,10.140497
111,2.776600e+01,10.138589
112,2.801300e+01,10.132214
113,2.826300e+01,10.127791
114,2.851300e+01,10.124737
115,2.876500e+01,10.120637
116,2.901300e+01,10.114696
117,2.926300e+01,10.111411
118,2.951300e+01,10.112657
119,2.976700e+01,10.109843
120,3.001000e+01,10.107795
121,3.026200e+01,10.105334
122,3.051000e+01,10.104926
123,3.076200e+01,10.101214
124,3.101000e+01,10.098997
125,3.126000e+01,10.097366
126,3.152800e+01,10.095388
127,3.176300e+01,10.087869
128,3.201300e+01,10.087870
129,3.226000e+01,10.091680
130,3.251100e+01,10.090496
131,3.276300e+01,10.083242
132,3.301300e+01,10.078518
133,3.326100e+01,10.071718
134,3.351400e+01,10.064855
135,3.376300e+01,10.061234
136,3.401300e+01,10.064933
137,3.426100e+01,10.066836
138,3.451800e+01,10.069880
139,3.476000e+01,10.077991
140,3.501000e+01,10.082982
141,3.526000e+01,10.083017
142,3.551500e+01,10.080429
143,3.576400e+01,10.076382
144,3.601300e+01,10.075261
145,3.626400e+01,10.072303
146,3.651800e+01,10.070887
147,3.676200e+01,10.069667
148,3.701300e+01,10.066163
149,3.726300e+01,10.059321
150,3.751500e+01,10.045841
151,3.776300e+01,10.040354
152,3.801200e+01,10.035026
153,3.826300e+01,10.026363
154,3.851300e+01,10.012736
155,3.876200e+01,10.006069
156,3.901100e+01,10.004375
157,3.926200e+01,10.004169
158,3.951000e+01,10.008814
159,3.976200e+01,10.009558
160,4.001000e+01,10.005248
161,4.026200e+01,9.995897
