Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.900000e-02,7.009275,2.622620e-06,85.914000
1,1.541000e+00,7.006601,2.622620e-06,-155.226000
2,7.241000e+00,6.985800,2.384200e-06,153.438000
3,7.277000e+00,7.026431,2.145780e-06,-64.980000
4,7.312000e+00,7.026431,2.145780e-06,-20.556000
5,7.537000e+00,7.034660,2.384200e-06,-108.432000
6,9.045000e+00,7.054860,2.622620e-06,-155.226000
7,1.053800e+01,7.074325,2.622620e-06,-123.690000
8,1.204100e+01,7.095278,2.622620e-06,-93.816000
9,1.354200e+01,7.112497,2.622620e-06,-140.712000
10,1.503900e+01,7.151460,2.384200e-06,-109.656000
11,1.654800e+01,7.160814,2.622620e-06,-158.964000
12,1.804100e+01,7.185951,2.622620e-06,-126.870000
13,1.954300e+01,7.224256,2.622620e-06,-175.914000
14,2.104300e+01,7.230919,2.622620e-06,-143.130000
15,2.254800e+01,7.244125,2.384200e-06,-64.980000
16,2.403800e+01,7.295927,2.622620e-06,-158.964000
17,2.555400e+01,7.315731,2.622620e-06,146.310000
18,2.704100e+01,7.336870,2.622620e-06,180.000000
19,2.854100e+01,7.340776,2.622620e-06,-146.310000
20,3.004400e+01,7.382667,2.861040e-06,162.900000
21,3.154200e+01,7.397396,2.622620e-06,-162.900000
22,3.303700e+01,7.438488,2.622620e-06,-132.276000
23,3.455400e+01,7.464893,2.622620e-06,180.000000
24,3.604100e+01,7.470736,2.622620e-06,-149.742000
25,3.754100e+01,7.480568,2.622620e-06,158.964000
26,3.904200e+01,7.509719,2.622620e-06,-162.900000
27,4.053800e+01,7.533810,2.622620e-06,-132.276000
28,4.203700e+01,7.546473,2.622620e-06,175.914000
29,4.356400e+01,7.578654,2.622620e-06,-149.742000
30,4.503800e+01,7.596553,2.622620e-06,-118.302000
31,4.654200e+01,7.625845,2.622620e-06,-167.904000
32,4.804200e+01,7.657982,2.622620e-06,-135.000000
33,4.954300e+01,7.681766,2.622620e-06,175.914000
34,5.103600e+01,7.693073,2.145780e-06,-151.698000
35,5.254100e+01,7.727888,2.622620e-06,153.438000
36,5.404300e+01,7.759131,2.622620e-06,-167.904000
37,5.554300e+01,7.757648,2.622620e-06,-135.000000
38,5.703900e+01,7.776155,2.384200e-06,-104.934000
39,5.853800e+01,7.808697,2.622620e-06,-155.226000
40,6.004700e+01,7.830305,2.622620e-06,-149.742000
41,6.154300e+01,7.840773,2.622620e-06,-171.870000
42,6.303800e+01,7.884106,2.622620e-06,-137.724000
43,6.454400e+01,7.883231,2.622620e-06,171.870000
44,6.604800e+01,7.907093,2.622620e-06,-155.226000
45,6.754100e+01,7.947962,2.622620e-06,-123.690000
46,6.903500e+01,7.972367,2.384200e-06,-93.576000
47,7.054500e+01,8.005929,2.622620e-06,135.000000
48,7.204300e+01,8.006351,2.622620e-06,167.004000
49,7.354400e+01,8.033073,2.622620e-06,-158.964000
50,7.504400e+01,8.042448,2.622620e-06,-126.870000
51,7.654600e+01,8.084241,2.622620e-06,-175.914000
52,7.803700e+01,8.102685,2.622620e-06,-143.130000
53,7.954200e+01,8.131422,2.384200e-06,-113.202000
54,8.104300e+01,8.150989,2.622620e-06,-158.964000
55,8.254300e+01,8.166521,2.622620e-06,-126.870000
56,8.405100e+01,8.197913,2.622620e-06,180.000000
57,8.554800e+01,8.203851,2.622620e-06,-146.310000
58,8.703800e+01,8.233174,2.861040e-06,162.900000
59,8.854200e+01,8.255975,2.622620e-06,-162.900000
60,9.004500e+01,8.274673,2.622620e-06,143.976000
61,9.154300e+01,8.287765,2.622620e-06,180.000000
62,9.305100e+01,8.325607,2.622620e-06,-146.310000
63,9.454600e+01,8.363919,2.622620e-06,158.964000
64,9.604600e+01,8.395667,2.622620e-06,-164.052000
65,9.754100e+01,8.409883,2.622620e-06,140.712000
66,9.904200e+01,8.407648,2.622620e-06,175.914000
67,1.005370e+02,8.448629,2.622620e-06,-149.742000
68,1.020420e+02,8.452323,2.622620e-06,-118.302000
69,1.035420e+02,8.475116,2.622620e-06,-167.004000
70,1.050560e+02,8.497622,2.622620e-06,-131.988000
71,1.065430e+02,8.523467,2.861040e-06,175.236000
72,1.080490e+02,8.552517,4.768400e-06,-59.034000
73,1.095410e+02,8.576977,1.645100e-05,-9.006000
74,1.110420e+02,8.605305,3.955380e-04,0.468000
75,1.125420e+02,8.646810,1.729260e-03,-0.090000
76,1.140600e+02,8.654011,1.981510e-03,-0.144000
77,1.155420e+02,8.675131,2.477180e-03,-0.054000
78,1.170480e+02,8.683428,2.903240e-03,-0.024000
79,1.185490e+02,8.690220,3.078950e-03,-0.090000
80,1.200550e+02,8.730288,3.499760e-03,0.012000
81,1.215420e+02,8.776598,3.576530e-03,-0.036000
82,1.230420e+02,8.778540,3.580350e-03,-0.036000
83,1.245410e+02,8.812870,3.578440e-03,0.078000
84,1.260400e+02,8.806168,3.584640e-03,-0.054000
85,1.275560e+02,8.860314,3.595610e-03,0.006000
86,1.290490e+02,8.872463,3.584400e-03,-0.030000
87,1.305440e+02,8.900383,3.593940e-03,-0.042000
88,1.320410e+02,8.925074,3.597270e-03,0.066000
89,1.335440e+02,8.950958,3.590600e-03,-0.054000
90,1.350390e+02,8.974032,3.597750e-03,0.000000
91,1.365410e+02,8.966964,3.595610e-03,-0.024000
92,1.380480e+02,8.991445,3.595130e-03,-0.048000
93,1.395360e+02,9.024269,3.583210e-03,0.060000
94,1.410440e+02,9.034697,3.591080e-03,-0.054000
95,1.425410e+02,9.071842,3.582020e-03,-0.006000
96,1.440470e+02,9.119102,3.587260e-03,-0.018000
97,1.455490e+02,9.151432,3.596080e-03,-0.048000
98,1.470530e+02,9.155091,3.583920e-03,0.048000
99,1.485350e+02,9.147402,3.591550e-03,0.162000
100,1.500440e+02,9.173563,3.582730e-03,-0.012000
101,1.515430e+02,9.196968,3.587020e-03,-0.012000
102,1.530430e+02,9.231248,3.596080e-03,-0.048000
103,1.545460e+02,9.272548,3.584400e-03,0.066000
104,1.560490e+02,9.290240,3.591550e-03,0.108000
105,1.575360e+02,9.294728,3.599420e-03,-0.018000
106,1.590380e+02,9.320118,3.587260e-03,0.102000
107,1.605400e+02,9.339236,3.596080e-03,-0.054000
108,1.620360e+02,9.358694,3.584400e-03,0.036000
109,1.635440e+02,9.375022,3.591550e-03,0.156000
110,1.650480e+02,9.423367,3.599900e-03,0.174000
111,1.665360e+02,9.461864,3.587260e-03,0.006000
112,1.680420e+02,9.481839,3.596080e-03,-0.054000
113,1.695440e+02,9.495836,3.584640e-03,0.084000
