Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,5.000000e-02,12.012128,3.586550e-03,0.048000
1,1.535000e+00,11.999146,3.599900e-03,0.240000
2,3.055000e+00,11.993005,3.601800e-03,0.240000
3,4.544000e+00,12.000762,3.602760e-03,0.180000
4,6.044000e+00,11.998391,3.597750e-03,-0.036000
5,7.552000e+00,11.987283,3.603230e-03,0.096000
6,9.051000e+00,11.972781,3.592740e-03,0.234000
7,1.054300e+01,11.929070,3.601090e-03,0.018000
8,1.206500e+01,11.916127,3.588450e-03,-0.030000
9,1.354500e+01,11.883629,3.597040e-03,-0.042000
10,1.504500e+01,11.860150,3.586070e-03,0.084000
11,1.655200e+01,11.823584,3.592270e-03,-0.054000
12,1.805200e+01,11.785957,3.600610e-03,0.006000
13,1.953900e+01,11.772616,3.587740e-03,-0.024000
14,2.104300e+01,11.730147,3.596080e-03,-0.048000
15,2.254200e+01,11.702592,3.585590e-03,0.036000
16,2.404400e+01,11.672866,3.591310e-03,-0.054000
17,2.554300e+01,11.649632,3.599900e-03,0.000000
18,2.704800e+01,11.631594,3.587260e-03,-0.018000
19,2.853700e+01,11.611155,3.595610e-03,-0.048000
20,3.004300e+01,11.585867,3.585350e-03,0.060000
21,3.154200e+01,11.575774,3.590600e-03,0.210000
22,3.304300e+01,11.521583,3.599180e-03,-0.012000
23,3.455900e+01,11.513063,3.602520e-03,-0.054000
24,3.603800e+01,11.503232,3.594410e-03,0.252000
25,3.753800e+01,11.494102,3.601570e-03,0.054000
26,3.903800e+01,11.468560,3.589650e-03,0.204000
27,4.054500e+01,11.435985,3.598470e-03,-0.018000
28,4.204100e+01,11.414003,3.586070e-03,-0.006000
29,4.353700e+01,11.391047,3.593940e-03,-0.054000
30,4.504600e+01,11.382429,3.601090e-03,0.042000
31,4.653800e+01,11.349844,3.588930e-03,-0.048000
32,4.803700e+01,11.328005,3.597750e-03,-0.024000
33,4.953600e+01,11.304038,3.585590e-03,0.000000
34,5.103800e+01,11.270413,3.592740e-03,-0.054000
35,5.254600e+01,11.259735,3.600850e-03,0.036000
36,5.404000e+01,11.245872,3.588210e-03,0.186000
37,5.553700e+01,11.234755,3.597270e-03,-0.030000
38,5.703700e+01,11.197644,3.585120e-03,0.108000
39,5.854400e+01,11.173209,3.592270e-03,-0.054000
40,6.003800e+01,11.149640,3.600370e-03,0.024000
41,6.155100e+01,11.125902,3.587740e-03,-0.036000
42,6.304100e+01,11.094999,3.596320e-03,-0.036000
43,6.454600e+01,11.061168,3.601800e-03,0.018000
44,6.603500e+01,11.046942,3.591550e-03,0.228000
45,6.754400e+01,11.008736,3.599660e-03,0.012000
46,6.905000e+01,11.005809,3.587020e-03,-0.030000
47,7.055100e+01,10.992892,3.595610e-03,-0.042000
48,7.205200e+01,10.967076,3.584400e-03,0.258000
49,7.355800e+01,10.951594,3.590600e-03,-0.054000
50,7.504500e+01,10.920475,3.584640e-03,0.006000
51,7.654600e+01,10.888432,3.586310e-03,-0.024000
52,7.805800e+01,10.870995,3.594890e-03,-0.048000
53,7.955100e+01,10.845557,3.601090e-03,0.072000
54,8.104500e+01,10.821230,3.589880e-03,0.216000
55,8.255500e+01,10.803142,3.598230e-03,0.000000
56,8.404500e+01,10.785069,3.585830e-03,-0.018000
57,8.554600e+01,10.755026,3.593940e-03,-0.048000
58,8.705400e+01,10.731395,3.583920e-03,0.042000
59,8.855300e+01,10.725831,3.588930e-03,-0.048000
60,9.003700e+01,10.703057,3.597750e-03,-0.012000
61,9.156500e+01,10.661867,3.585120e-03,-0.012000
62,9.304500e+01,10.657232,3.593220e-03,-0.048000
63,9.454800e+01,10.636800,3.600370e-03,0.054000
64,9.604400e+01,10.610674,3.588210e-03,-0.048000
65,9.754000e+01,10.592679,3.597270e-03,-0.018000
66,9.903800e+01,10.557426,3.584640e-03,0.126000
67,1.005400e+02,10.549170,3.592270e-03,-0.054000
68,1.020410e+02,10.505206,3.583450e-03,0.060000
69,1.035450e+02,10.475719,3.587500e-03,-0.048000
70,1.050520e+02,10.465143,3.596320e-03,-0.024000
71,1.065520e+02,10.431381,3.584160e-03,0.114000
72,1.080390e+02,10.416840,3.591550e-03,-0.054000
73,1.095520e+02,10.389469,3.583450e-03,0.246000
74,1.110440e+02,10.386245,3.586780e-03,0.186000
75,1.125450e+02,10.349242,3.595610e-03,-0.030000
76,1.140540e+02,10.330272,3.583680e-03,0.006000
77,1.155510e+02,10.312620,3.590600e-03,0.234000
78,1.170380e+02,10.297401,3.598700e-03,0.018000
79,1.185410e+02,10.260218,3.586070e-03,0.174000
80,1.200460e+02,10.248393,3.603230e-03,0.144000
81,1.215420e+02,10.222577,3.583450e-03,0.018000
82,1.230520e+02,10.198547,3.589880e-03,-0.054000
83,1.245540e+02,10.180951,3.582970e-03,0.090000
84,1.260350e+02,10.141436,3.585350e-03,0.162000
85,1.275440e+02,10.130020,3.593940e-03,-0.042000
86,1.290400e+02,10.102970,3.582730e-03,0.024000
87,1.305370e+02,10.079380,3.597270e-03,-0.054000
88,1.320480e+02,10.049661,3.597270e-03,0.006000
89,1.335420e+02,10.051538,3.584640e-03,-0.024000
90,1.350380e+02,10.014197,3.592980e-03,-0.048000
91,1.365380e+02,9.982061,3.582490e-03,0.072000
92,1.380490e+02,9.983577,3.588210e-03,-0.054000
93,1.395450e+02,9.958127,3.582970e-03,0.102000
94,1.410480e+02,9.917722,3.583920e-03,0.144000
95,1.425440e+02,9.900234,3.592270e-03,-0.048000
96,1.440470e+02,9.873825,3.582250e-03,0.042000
97,1.455450e+02,9.845453,3.587260e-03,-0.048000
98,1.470440e+02,9.842279,3.583210e-03,-0.012000
99,1.485390e+02,9.809628,3.583450e-03,-0.012000
100,1.500510e+02,9.791446,3.591310e-03,-0.048000
101,1.515420e+02,9.770269,3.581780e-03,0.048000
102,1.530560e+02,9.745007,3.586550e-03,-0.048000
103,1.545440e+02,9.725896,3.582970e-03,0.120000
104,1.560370e+02,9.714629,3.582730e-03,-0.006000
105,1.575430e+02,9.677765,3.590360e-03,0.138000
106,1.590470e+02,9.655561,3.581540e-03,0.060000
107,1.605380e+02,9.637617,3.585590e-03,-0.048000
108,1.620550e+02,9.605363,3.582970e-03,0.132000
109,1.635410e+02,9.588139,3.582020e-03,0.000000
110,1.650420e+02,9.572133,3.589410e-03,-0.054000
111,1.665390e+02,9.544878,3.581060e-03,0.030000
112,1.680440e+02,9.518564,3.584640e-03,0.186000
113,1.695380e+02,9.499423,3.593460e-03,-0.030000
114,1.710420e+02,9.462799,3.581540e-03,0.102000
115,1.725440e+02,9.453626,3.588210e-03,-0.054000
116,1.740440e+02,9.429662,3.580820e-03,0.078000
117,1.755470e+02,9.397172,3.583680e-03,-0.036000
118,1.770410e+02,9.398505,3.582970e-03,0.144000
119,1.785370e+02,9.372132,3.580820e-03,0.090000
120,1.800410e+02,9.337329,3.587500e-03,-0.054000
121,1.815460e+02,9.313212,3.595370e-03,0.090000
122,1.830420e+02,9.296860,3.582730e-03,0.162000
123,1.845490e+02,9.275196,3.591310e-03,-0.042000
124,1.860390e+02,9.240471,3.580110e-03,0.024000
125,1.875370e+02,9.217635,3.586070e-03,-0.054000
126,1.890440e+02,9.197534,3.580110e-03,0.096000
127,1.905440e+02,9.175836,3.581780e-03,-0.024000
128,1.920410e+02,9.179402,3.582970e-03,-0.048000
129,1.935510e+02,9.145243,3.579390e-03,0.036000
130,1.950500e+02,9.096437,3.584640e-03,0.090000
131,1.965380e+02,9.096119,3.579630e-03,0.108000
132,1.980450e+02,9.074407,3.580590e-03,-0.018000
133,1.995440e+02,9.057561,3.588930e-03,-0.048000
134,2.010510e+02,9.034402,3.578440e-03,0.042000
135,2.025520e+02,9.005507,3.583210e-03,-0.048000
136,2.040510e+02,8.980442,3.578680e-03,0.114000
137,2.055380e+02,8.960376,3.578680e-03,-0.012000
138,2.070450e+02,8.945027,3.581300e-03,0.168000
139,2.085440e+02,8.896668,3.575580e-03,0.054000
140,2.100440e+02,8.884530,3.580590e-03,-0.048000
141,2.115520e+02,8.858264,3.576060e-03,0.120000
142,2.130500e+02,8.835818,3.575100e-03,-0.006000
143,2.145380e+02,8.806678,3.577490e-03,-0.054000
144,2.160400e+02,8.798648,3.569140e-03,0.060000
145,2.175450e+02,8.774736,3.561990e-03,-0.048000
146,2.190420e+02,8.753595,3.520740e-03,0.126000
147,2.205470e+02,8.729751,3.438730e-03,-0.006000
148,2.220450e+02,8.708861,3.241790e-03,-0.078000
149,2.235460e+02,8.698236,2.986210e-03,0.030000
150,2.250450e+02,8.670301,1.879460e-03,-0.084000
151,2.265450e+02,8.632674,3.900550e-04,-0.246000
152,2.280490e+02,8.630119,5.915200e-04,-0.126000
153,2.295480e+02,8.598705,2.932560e-05,-0.294000
154,2.310390e+02,8.584612,1.287470e-05,2.892000
155,2.325580e+02,8.541876,2.145780e-06,-34.698000
156,2.340420e+02,8.526067,1.430520e-06,-126.870000
157,2.355400e+02,8.504836,1.430520e-06,-99.462000
