Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,5.300000e-02,8.914917,3.590600e-03,0.234000
1,1.543000e+00,8.894082,3.577720e-03,0.144000
2,3.041000e+00,8.911869,3.589880e-03,0.006000
3,4.544000e+00,8.905852,3.581060e-03,0.210000
4,6.034000e+00,8.897258,3.577960e-03,0.078000
5,7.547000e+00,8.884165,3.583210e-03,-0.042000
6,9.041000e+00,8.878636,3.578200e-03,-0.030000
7,1.054400e+01,8.896760,3.579870e-03,0.012000
8,1.203500e+01,8.903161,3.581780e-03,-0.054000
9,1.353800e+01,8.889567,3.577720e-03,0.090000
10,1.504200e+01,8.884876,3.582730e-03,0.234000
11,1.654100e+01,8.890676,3.578920e-03,0.162000
12,1.804200e+01,8.869777,3.589170e-03,0.018000
13,1.953700e+01,8.892390,3.582020e-03,0.222000
14,2.104100e+01,8.899053,3.578200e-03,0.102000
15,2.254000e+01,8.894299,3.582250e-03,-0.030000
16,2.404100e+01,8.888704,3.578920e-03,0.174000
17,2.554100e+01,8.867829,3.577960e-03,0.030000
18,2.704200e+01,8.863934,3.581780e-03,0.222000
19,2.853500e+01,8.879661,3.577720e-03,0.108000
20,3.004500e+01,8.862171,3.580820e-03,-0.024000
21,3.154100e+01,8.873118,3.578920e-03,0.186000
22,3.304200e+01,8.873972,3.578440e-03,0.042000
23,3.453900e+01,8.867761,3.585350e-03,0.120000
24,3.604200e+01,8.842213,3.575580e-03,0.120000
25,3.754100e+01,8.839870,3.579630e-03,-0.018000
26,3.905500e+01,8.840067,3.577960e-03,0.192000
27,4.054100e+01,8.858912,3.577250e-03,0.048000
28,4.204100e+01,8.858215,3.582490e-03,0.234000
29,4.354000e+01,8.863679,3.577250e-03,0.132000
30,4.504100e+01,8.855475,3.586550e-03,-0.012000
31,4.653500e+01,8.822537,3.576290e-03,0.198000
32,4.804100e+01,8.837436,3.576290e-03,0.060000
33,4.954100e+01,8.843674,3.582730e-03,0.234000
34,5.104600e+01,8.833525,3.575820e-03,-0.018000
35,5.253200e+01,8.822838,3.576060e-03,0.000000
36,5.404300e+01,8.810812,3.584400e-03,-0.048000
37,5.553600e+01,8.831949,3.576060e-03,0.066000
38,5.704200e+01,8.848379,3.583450e-03,-0.048000
39,5.854100e+01,8.847383,3.576770e-03,0.144000
40,6.004200e+01,8.820962,3.576060e-03,0.216000
41,6.154100e+01,8.824508,3.590360e-03,0.210000
42,6.304100e+01,8.808601,3.572240e-03,0.078000
43,6.453400e+01,8.827909,3.583450e-03,-0.042000
44,6.604100e+01,8.814654,3.573430e-03,0.156000
45,6.754700e+01,8.812461,3.585830e-03,0.012000
46,6.903400e+01,8.801162,3.574390e-03,0.216000
47,7.054100e+01,8.804044,3.587740e-03,0.156000
48,7.204900e+01,8.794047,3.575820e-03,0.042000
49,7.353500e+01,8.787578,3.566280e-03,0.168000
50,7.504200e+01,8.809422,3.575580e-03,0.018000
51,7.654100e+01,8.785646,3.567710e-03,0.222000
52,7.804100e+01,8.790962,3.570570e-03,0.102000
53,7.954100e+01,8.807702,3.581540e-03,0.234000
54,8.104200e+01,8.801070,3.572960e-03,0.174000
55,8.253700e+01,8.805150,3.585830e-03,0.030000
56,8.403700e+01,8.773417,3.554600e-03,0.222000
57,8.554200e+01,8.777753,3.564130e-03,0.108000
58,8.703500e+01,8.769609,3.564130e-03,0.228000
59,8.854200e+01,8.784429,3.584880e-03,0.180000
60,9.004100e+01,8.778535,3.557940e-03,0.036000
61,9.153600e+01,8.784492,3.570810e-03,-0.054000
62,9.303600e+01,8.792951,3.571050e-03,0.120000
63,9.454400e+01,8.775582,3.564130e-03,-0.018000
64,9.604100e+01,8.771066,3.557700e-03,-0.048000
65,9.754200e+01,8.755683,3.527890e-03,0.048000
66,9.903400e+01,8.764444,3.561990e-03,-0.048000
67,1.005460e+02,8.757939,3.540770e-03,0.132000
68,1.020410e+02,8.737020,3.475440e-03,-0.024000
69,1.035410e+02,8.745465,3.522890e-03,-0.054000
