Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.800000e-02,8.386551,0.000000e+00,-90.000000
1,1.541000e+00,8.396570,0.000000e+00,-45.000000
2,3.033000e+00,8.402452,0.000000e+00,0.000000
3,4.534000e+00,8.394985,0.000000e+00,0.000000
4,6.033000e+00,8.391850,0.000000e+00,0.000000
5,7.537000e+00,8.392171,0.000000e+00,-45.000000
6,9.039000e+00,8.411674,0.000000e+00,0.000000
7,1.053500e+01,8.410128,0.000000e+00,0.000000
8,1.203100e+01,8.391353,0.000000e+00,0.000000
9,1.353200e+01,8.406065,0.000000e+00,0.000000
10,1.503600e+01,8.406731,0.000000e+00,0.000000
11,1.653100e+01,8.410340,0.000000e+00,0.000000
12,1.803800e+01,8.417723,0.000000e+00,0.000000
13,1.953400e+01,8.425121,0.000000e+00,0.000000
14,2.103800e+01,8.414031,0.000000e+00,0.000000
15,2.253700e+01,8.419492,0.000000e+00,-45.000000
16,2.403000e+01,8.425945,0.000000e+00,0.000000
17,2.553000e+01,8.425272,0.000000e+00,0.000000
18,2.702900e+01,8.424527,0.000000e+00,0.000000
19,2.853200e+01,8.427946,0.000000e+00,-45.000000
20,3.003800e+01,8.431887,0.000000e+00,-45.000000
21,3.153700e+01,8.435339,0.000000e+00,0.000000
22,3.303100e+01,8.439143,0.000000e+00,0.000000
23,3.453100e+01,8.441620,0.000000e+00,-45.000000
24,3.602900e+01,8.444780,0.000000e+00,0.000000
25,3.753500e+01,8.452988,0.000000e+00,-45.000000
26,3.903700e+01,8.443868,0.000000e+00,0.000000
27,4.052800e+01,8.457979,0.000000e+00,0.000000
28,4.203400e+01,8.451099,0.000000e+00,-45.000000
29,4.353100e+01,8.458562,0.000000e+00,0.000000
30,4.504000e+01,8.444913,0.000000e+00,0.000000
31,4.653200e+01,8.442454,0.000000e+00,0.000000
32,4.803200e+01,8.447755,0.000000e+00,0.000000
33,4.953600e+01,8.466197,0.000000e+00,0.000000
34,5.103600e+01,8.468929,0.000000e+00,0.000000
35,5.253100e+01,8.474169,0.000000e+00,-45.000000
36,5.403600e+01,8.473139,0.000000e+00,0.000000
37,5.553700e+01,8.467813,0.000000e+00,-45.000000
38,5.703800e+01,8.475331,0.000000e+00,-45.000000
39,5.853700e+01,8.481545,0.000000e+00,0.000000
40,6.003700e+01,8.493737,0.000000e+00,-45.000000
41,6.153300e+01,8.489549,0.000000e+00,0.000000
42,6.302800e+01,8.472175,0.000000e+00,0.000000
43,6.453100e+01,8.478707,0.000000e+00,-45.000000
44,6.602800e+01,8.485880,0.000000e+00,0.000000
45,6.753000e+01,8.483096,0.000000e+00,0.000000
46,6.904000e+01,8.495555,3.814730e-06,0.000000
47,7.053100e+01,8.493386,0.000000e+00,-45.000000
48,7.204600e+01,8.503704,3.814730e-06,0.000000
49,7.353600e+01,8.505868,3.814730e-06,0.000000
50,7.504300e+01,8.491671,0.000000e+00,-45.000000
51,7.654000e+01,8.504955,3.814730e-06,0.000000
52,7.803900e+01,8.503160,3.814730e-06,-90.000000
53,7.953300e+01,8.514332,7.629450e-06,-26.562000
54,8.103900e+01,8.511626,3.814730e-06,0.000000
55,8.254100e+01,8.516363,1.525890e-05,0.000000
56,8.404000e+01,8.500661,3.814730e-06,-45.000000
57,8.553900e+01,8.515487,1.144420e-05,0.000000
58,8.703800e+01,8.522411,7.629450e-06,-26.562000
59,8.854300e+01,8.530539,2.288830e-05,0.000000
60,9.004100e+01,8.526295,1.144420e-05,-18.432000
61,9.153600e+01,8.535560,4.959130e-05,-3.816000
62,9.304000e+01,8.526829,1.144420e-05,0.000000
63,9.453900e+01,8.525141,1.144420e-05,0.000000
64,9.603300e+01,8.533660,2.288830e-05,0.000000
65,9.754300e+01,8.539274,3.814720e-05,0.000000
66,9.904000e+01,8.538383,9.155320e-05,0.000000
67,1.005390e+02,8.546017,2.098090e-04,-0.924000
68,1.020420e+02,8.530574,1.907360e-05,0.000000
69,1.035450e+02,8.552480,8.163490e-04,-2.412000
70,1.050370e+02,8.554001,2.136240e-04,-1.818000
71,1.065530e+02,8.543874,6.103560e-05,-3.012000
72,1.080320e+02,8.538726,3.814720e-05,-5.196000
73,1.095490e+02,8.563432,1.159680e-03,-2.556000
74,1.110410e+02,8.545641,8.010910e-05,-2.490000
75,1.125430e+02,8.565206,1.449590e-03,-2.502000
76,1.140350e+02,8.574198,3.150950e-03,-2.118000
77,1.155390e+02,8.556701,2.632160e-04,-1.380000
78,1.170420e+02,8.564124,7.400550e-04,-2.112000
