Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.500000e-02,8.399671,0.000000e+00,-90.000000
1,1.535000e+00,8.387886,0.000000e+00,0.000000
2,3.032000e+00,8.398214,0.000000e+00,-45.000000
3,4.535000e+00,8.388611,0.000000e+00,0.000000
4,6.033000e+00,8.407353,0.000000e+00,0.000000
5,7.536000e+00,8.427207,0.000000e+00,0.000000
6,9.038000e+00,8.445322,0.000000e+00,0.000000
7,1.054600e+01,8.446849,0.000000e+00,-45.000000
8,1.203500e+01,8.456143,0.000000e+00,45.000000
9,1.353600e+01,8.466539,0.000000e+00,0.000000
10,1.504800e+01,8.471002,0.000000e+00,0.000000
11,1.653000e+01,8.483710,0.000000e+00,0.000000
12,1.803800e+01,8.491323,0.000000e+00,-45.000000
13,1.953900e+01,8.507055,3.814730e-06,0.000000
14,2.105200e+01,8.528310,2.288830e-05,-7.122000
15,2.254000e+01,8.540183,1.106270e-04,-1.638000
16,2.405100e+01,8.543799,7.247970e-05,-2.604000
17,2.554100e+01,8.565132,1.270300e-03,-2.526000
18,2.704300e+01,8.557645,3.433250e-04,-2.100000
19,2.854400e+01,8.584441,4.409820e-03,-2.208000
20,3.004900e+01,8.601598,7.164030e-03,-1.962000
21,3.154200e+01,8.615103,1.102450e-02,-1.548000
22,3.306200e+01,8.616137,1.085670e-02,-1.566000
23,3.453900e+01,8.632630,1.300820e-02,-1.254000
24,3.604100e+01,8.647989,1.555640e-02,-0.612000
25,3.755600e+01,8.666355,1.660930e-02,-0.450000
26,3.904200e+01,8.674889,1.684580e-02,-0.342000
27,4.053900e+01,8.681209,1.698320e-02,-0.144000
28,4.204400e+01,8.687968,1.713570e-02,-0.300000
29,4.354400e+01,8.692053,1.717770e-02,-0.168000
30,4.504300e+01,8.705066,1.757820e-02,0.084000
31,4.655700e+01,8.719028,1.768120e-02,-0.084000
32,4.805800e+01,8.733396,1.782240e-02,0.096000
33,4.953700e+01,8.735886,1.779570e-02,0.174000
34,5.104600e+01,8.750909,1.788340e-02,0.042000
35,5.254500e+01,8.771991,1.786820e-02,-0.054000
36,5.404200e+01,8.783262,1.791390e-02,0.204000
37,5.553900e+01,8.784608,1.791010e-02,0.114000
38,5.704900e+01,8.804088,1.790250e-02,0.216000
39,5.853900e+01,8.823531,1.793680e-02,0.042000
40,6.004600e+01,8.833904,1.788340e-02,-0.054000
41,6.154000e+01,8.843896,1.792920e-02,-0.018000
42,6.303500e+01,8.839233,1.793680e-02,0.114000
43,6.453900e+01,8.862268,1.791010e-02,-0.054000
44,6.604300e+01,8.856128,1.785670e-02,0.042000
45,6.754100e+01,8.884512,1.789100e-02,-0.042000
46,6.904300e+01,8.880940,1.792920e-02,-0.018000
47,7.054700e+01,8.898294,1.787200e-02,0.204000
48,7.204100e+01,8.920037,1.791390e-02,-0.054000
49,7.354500e+01,8.921159,1.786430e-02,0.030000
50,7.504600e+01,8.944679,1.789490e-02,-0.042000
51,7.654000e+01,8.948386,1.786820e-02,-0.030000
52,7.804100e+01,8.962486,1.787580e-02,0.096000
53,7.954500e+01,8.964036,1.791390e-02,-0.054000
54,8.104900e+01,8.985865,1.795210e-02,0.018000
55,8.253900e+01,8.991362,1.789490e-02,-0.030000
56,8.405000e+01,9.009114,1.793680e-02,0.216000
57,8.554000e+01,9.021657,1.795590e-02,0.084000
58,8.704400e+01,9.022343,1.791390e-02,0.204000
59,8.854000e+01,9.056865,1.795590e-02,0.012000
60,9.003800e+01,9.055897,1.789490e-02,0.150000
61,9.154600e+01,9.057100,1.793680e-02,-0.042000
62,9.304800e+01,9.061295,1.795590e-02,0.072000
63,9.455200e+01,9.090957,1.793300e-02,0.192000
64,9.604100e+01,9.094774,1.787580e-02,0.108000
65,9.754000e+01,9.107041,1.789490e-02,0.138000
66,9.904100e+01,9.108529,1.793680e-02,-0.042000
67,1.005460e+02,9.128142,1.787580e-02,0.066000
68,1.020410e+02,9.133172,1.791390e-02,0.192000
69,1.035520e+02,9.140440,1.795590e-02,0.000000
70,1.050440e+02,9.152623,1.789100e-02,0.138000
71,1.065400e+02,9.184206,1.793680e-02,-0.042000
72,1.080590e+02,9.191404,1.787580e-02,-0.042000
73,1.095540e+02,9.202902,1.791390e-02,-0.054000
74,1.110440e+02,9.198082,1.795590e-02,-0.012000
75,1.125620e+02,9.214661,1.795970e-02,0.126000
76,1.140420e+02,9.234946,1.793300e-02,0.216000
77,1.155400e+02,9.254268,1.787960e-02,0.054000
78,1.170410e+02,9.241631,1.791010e-02,0.180000
79,1.185500e+02,9.256195,1.795590e-02,0.204000
80,1.200380e+02,9.265570,1.789100e-02,0.000000
81,1.215450e+02,9.294220,1.793300e-02,-0.054000
82,1.230410e+02,9.299163,1.796350e-02,0.042000
83,1.245430e+02,9.308666,1.791010e-02,0.168000
84,1.260460e+02,9.337092,1.795590e-02,-0.018000
85,1.275420e+02,9.333504,1.796350e-02,0.108000
86,1.290380e+02,9.340797,1.792920e-02,-0.054000
87,1.305410e+02,9.364499,1.796350e-02,0.030000
88,1.320410e+02,9.374418,1.790630e-02,-0.042000
89,1.335450e+02,9.382377,1.795210e-02,-0.030000
90,1.350560e+02,9.384279,1.788720e-02,0.012000
91,1.365450e+02,9.393797,1.792920e-02,-0.054000
92,1.380440e+02,9.413017,1.787960e-02,0.018000
93,1.395450e+02,9.421581,1.790630e-02,-0.030000
94,1.410450e+02,9.429969,1.795210e-02,-0.030000
95,1.425440e+02,9.444438,1.788720e-02,0.084000
96,1.440490e+02,9.450426,1.792920e-02,0.204000
97,1.455470e+02,9.476050,1.796350e-02,0.192000
98,1.470380e+02,9.486794,1.790250e-02,-0.030000
99,1.485420e+02,9.497369,1.794830e-02,-0.042000
100,1.500420e+02,9.495802,1.796730e-02,0.072000
101,1.515380e+02,9.516867,1.792920e-02,0.204000
102,1.530510e+02,9.528843,1.796350e-02,0.108000
103,1.545520e+02,9.546166,1.790250e-02,-0.018000
104,1.560430e+02,9.550497,1.794830e-02,0.054000
105,1.575450e+02,9.562294,1.788720e-02,0.066000
106,1.590410e+02,9.566509,1.792540e-02,-0.054000
107,1.605420e+02,9.565254,1.788340e-02,0.000000
108,1.620460e+02,9.579885,1.790250e-02,-0.018000
109,1.635420e+02,9.602817,1.789490e-02,-0.042000
110,1.650390e+02,9.618912,1.788720e-02,0.066000
111,1.665450e+02,9.632831,1.792160e-02,-0.054000
112,1.680430e+02,9.639123,1.795970e-02,-0.012000
113,1.695410e+02,9.651659,1.790250e-02,-0.012000
114,1.710510e+02,9.665071,1.794450e-02,-0.054000
115,1.725420e+02,9.670671,1.797120e-02,0.054000
116,1.740490e+02,9.685953,1.791780e-02,-0.042000
117,1.755410e+02,9.714346,1.795970e-02,-0.018000
118,1.770370e+02,9.698304,1.789870e-02,0.000000
119,1.785380e+02,9.694552,1.794060e-02,-0.054000
120,1.800460e+02,9.727738,1.788720e-02,0.042000
121,1.815430e+02,9.743387,1.791780e-02,-0.042000
122,1.830520e+02,9.752187,1.788720e-02,0.150000
123,1.845390e+02,9.770034,1.789870e-02,0.000000
124,1.860450e+02,9.779658,1.793680e-02,-0.054000
125,1.875510e+02,9.802487,1.788720e-02,0.030000
126,1.890360e+02,9.790254,1.791390e-02,0.168000
127,1.905390e+02,9.807339,1.789100e-02,-0.030000
128,1.920560e+02,9.809962,1.789490e-02,0.096000
129,1.935450e+02,9.814308,1.793300e-02,-0.054000
130,1.950460e+02,9.833048,1.788720e-02,0.018000
131,1.965430e+02,9.850623,1.791010e-02,-0.030000
132,1.980420e+02,9.873513,1.795590e-02,-0.030000
133,1.995380e+02,9.862942,1.789490e-02,0.018000
