Point,Time (s),Temperature (K)
0,1.500000e-02,44.714581
1,2.610000e-01,44.714539
2,5.110000e-01,44.714844
3,7.570000e-01,44.712952
4,1.013000e+00,44.710968
5,1.260000e+00,44.709476
6,1.510000e+00,44.709332
7,1.759000e+00,44.709793
8,2.009000e+00,44.710548
9,2.256000e+00,44.712040
10,2.510000e+00,44.713612
11,2.762000e+00,44.718548
12,3.013000e+00,44.731918
13,3.261000e+00,44.748604
14,3.512000e+00,44.769508
15,3.761000e+00,44.795937
16,4.012000e+00,44.845287
17,4.267000e+00,44.884056
18,4.513000e+00,44.926411
19,4.758000e+00,44.973980
20,5.012000e+00,45.054192
21,5.264000e+00,45.112270
22,5.512000e+00,45.175892
23,5.762000e+00,45.244709
24,6.012000e+00,45.355732
25,6.263000e+00,45.434128
26,6.513000e+00,45.518299
27,6.763000e+00,45.606243
28,7.012000e+00,45.744076
29,7.262000e+00,45.841244
30,7.512000e+00,45.941059
31,7.767000e+00,46.096268
32,8.014000e+00,46.203434
33,8.263000e+00,46.312477
34,8.512000e+00,46.424377
35,8.759000e+00,46.596268
36,9.009000e+00,46.712719
37,9.262000e+00,46.830288
38,9.509000e+00,46.950047
39,9.763000e+00,47.132813
40,1.002800e+01,47.256737
41,1.026300e+01,47.380913
42,1.051300e+01,47.507084
43,1.077000e+01,47.697250
44,1.101300e+01,47.826664
45,1.126200e+01,47.955933
46,1.151800e+01,48.086075
47,1.176200e+01,48.280811
48,1.201200e+01,48.412376
49,1.226100e+01,48.543606
50,1.251400e+01,48.673866
51,1.276100e+01,48.860199
52,1.301200e+01,48.979733
53,1.325900e+01,49.092888
54,1.351300e+01,49.199093
55,1.375800e+01,49.344009
56,1.402000e+01,49.432224
57,1.427400e+01,49.513847
58,1.451900e+01,49.588181
59,1.476300e+01,49.689510
60,1.501200e+01,49.750111
61,1.526200e+01,49.803558
62,1.551500e+01,49.875927
63,1.576000e+01,49.917538
64,1.601200e+01,49.953499
65,1.626200e+01,49.985397
66,1.651100e+01,50.024498
67,1.676200e+01,50.044312
68,1.701100e+01,50.061096
69,1.726200e+01,50.074337
70,1.750800e+01,50.088169
71,1.776100e+01,50.092518
72,1.800700e+01,50.094013
73,1.826000e+01,50.093533
74,1.851200e+01,50.088120
75,1.876100e+01,50.081169
76,1.901100e+01,50.071938
77,1.926100e+01,50.061790
78,1.951000e+01,50.043053
79,1.975700e+01,50.028591
80,2.000800e+01,50.014217
81,2.026300e+01,49.997131
82,2.051100e+01,49.969791
83,2.076100e+01,49.949642
84,2.101000e+01,49.928047
