Point,Time (s),Temperature (K)
0,1.700000e-02,45.018101
1,2.620000e-01,45.019238
2,5.080000e-01,45.021423
3,7.580000e-01,45.023571
4,1.010000e+00,45.023876
5,1.265000e+00,45.023994
6,1.511000e+00,45.025047
7,1.760000e+00,45.025394
8,2.011000e+00,45.025391
9,2.262000e+00,45.028290
10,2.510000e+00,45.034237
11,2.762000e+00,45.044422
12,3.011000e+00,45.058952
13,3.261000e+00,45.091614
14,3.511000e+00,45.118885
15,3.756000e+00,45.151226
16,4.011000e+00,45.187473
17,4.261000e+00,45.251427
18,4.507000e+00,45.299129
19,4.759000e+00,45.352623
20,5.007000e+00,45.410515
21,5.261000e+00,45.505875
22,5.507000e+00,45.575039
23,5.758000e+00,45.648880
24,6.008000e+00,45.728107
25,6.257000e+00,45.853642
26,6.511000e+00,45.943001
27,6.759000e+00,46.034863
28,7.013000e+00,46.130005
29,7.260000e+00,46.279076
30,7.511000e+00,46.381260
31,7.761000e+00,46.486378
32,8.011000e+00,46.593403
33,8.261000e+00,46.758202
34,8.511000e+00,46.869534
35,8.756000e+00,46.982109
36,9.013000e+00,47.151512
37,9.257000e+00,47.264851
38,9.512000e+00,47.378124
39,9.756000e+00,47.490898
40,1.001200e+01,47.660053
41,1.026100e+01,47.772026
42,1.051100e+01,47.881947
43,1.076100e+01,47.991356
44,1.101100e+01,48.149536
45,1.126100e+01,48.251404
46,1.151100e+01,48.351742
47,1.175800e+01,48.450020
48,1.201100e+01,48.591236
49,1.226100e+01,48.681458
50,1.251100e+01,48.769077
51,1.275600e+01,48.853722
52,1.301200e+01,48.973537
53,1.326100e+01,49.048901
54,1.350900e+01,49.120346
55,1.376300e+01,49.188808
56,1.400800e+01,49.286190
57,1.426200e+01,49.345940
58,1.451800e+01,49.402351
59,1.476200e+01,49.455223
60,1.501200e+01,49.528030
61,1.525800e+01,49.573444
62,1.550800e+01,49.617229
63,1.576500e+01,49.674713
64,1.601200e+01,49.708855
65,1.626200e+01,49.739983
66,1.651300e+01,49.767662
67,1.676300e+01,49.805321
68,1.701200e+01,49.826122
69,1.726100e+01,49.845478
70,1.751800e+01,49.862480
71,1.776000e+01,49.884518
72,1.801200e+01,49.897026
73,1.825800e+01,49.907673
74,1.851000e+01,49.917839
75,1.875600e+01,49.930164
76,1.901100e+01,49.937862
77,1.926000e+01,49.944214
78,1.951100e+01,49.950787
79,1.976100e+01,49.959042
80,2.001000e+01,49.963688
81,2.026100e+01,49.967545
82,2.051600e+01,49.971512
83,2.075800e+01,49.976192
84,2.101000e+01,49.978977
85,2.125900e+01,49.980846
86,2.151300e+01,49.984089
87,2.176200e+01,49.987522
88,2.201000e+01,49.990410
89,2.226200e+01,49.993126
90,2.251100e+01,49.994354
91,2.276300e+01,49.996887
92,2.300800e+01,49.998459
93,2.326800e+01,50.000774
94,2.352200e+01,50.005146
95,2.376200e+01,50.007648
96,2.401200e+01,50.010162
97,2.426500e+01,50.012661
98,2.451200e+01,50.016098
99,2.476100e+01,50.019882
100,2.501200e+01,50.023228
101,2.526200e+01,50.026726
102,2.551200e+01,50.031689
103,2.576200e+01,50.035347
104,2.601200e+01,50.038586
105,2.626100e+01,50.041271
106,2.651200e+01,50.046844
107,2.675900e+01,50.049526
108,2.701200e+01,50.052597
109,2.725800e+01,50.056206
110,2.751300e+01,50.059830
111,2.776800e+01,50.062840
112,2.801200e+01,50.066093
113,2.826700e+01,50.068241
114,2.851100e+01,50.070324
115,2.876200e+01,50.072174
116,2.901100e+01,50.074055
117,2.926100e+01,50.075481
118,2.951300e+01,50.077385
119,2.976300e+01,50.078094
120,3.001200e+01,50.081142
121,3.026700e+01,50.081882
122,3.051200e+01,50.082462
123,3.075900e+01,50.083260
124,3.100900e+01,50.083561
125,3.126100e+01,50.083141
126,3.150900e+01,50.083847
127,3.176000e+01,50.083408
128,3.200600e+01,50.083344
129,3.225900e+01,50.081795
130,3.251000e+01,50.080902
131,3.275700e+01,50.079288
132,3.301100e+01,50.077625
133,3.326000e+01,50.074894
134,3.351000e+01,50.073986
135,3.376000e+01,50.072899
136,3.401000e+01,50.071815
137,3.426000e+01,50.069519
138,3.450800e+01,50.067955
139,3.476000e+01,50.067097
140,3.501600e+01,50.064953
