Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.800000e-02,40.029320,4.438800e-01,-9.144000
1,1.037000e+00,40.003643,4.445510e-01,-9.144000
2,2.038000e+00,39.977745,4.452230e-01,-9.144000
3,3.035000e+00,39.953266,4.458940e-01,-9.150000
4,4.055000e+00,39.935650,4.465660e-01,-9.150000
5,5.043000e+00,39.936832,4.472370e-01,-9.156000
6,6.041000e+00,39.970413,4.478780e-01,-9.156000
7,7.039000e+00,40.029533,4.485190e-01,-9.156000
8,8.034000e+00,40.113358,4.491600e-01,-9.156000
9,9.034000e+00,40.216671,4.498000e-01,-9.162000
10,1.003800e+01,40.336586,4.504110e-01,-9.162000
11,1.103600e+01,40.460087,4.510820e-01,-9.168000
12,1.203400e+01,40.588779,4.516930e-01,-9.168000
13,1.303900e+01,40.708492,4.522720e-01,-9.168000
14,1.403900e+01,40.823483,4.528830e-01,-9.174000
15,1.503800e+01,40.926994,4.534930e-01,-9.174000
16,1.603800e+01,41.018494,4.540420e-01,-9.174000
17,1.703700e+01,41.097965,4.546530e-01,-9.174000
18,1.803900e+01,41.171562,4.552630e-01,-9.174000
19,1.903600e+01,41.237999,4.558120e-01,-9.180000
20,2.003900e+01,41.302441,4.563620e-01,-9.180000
21,2.103300e+01,41.370541,4.569720e-01,-9.180000
22,2.203700e+01,41.441078,4.575210e-01,-9.180000
23,2.303700e+01,41.516048,4.580710e-01,-9.180000
24,2.404600e+01,41.589916,4.585590e-01,-9.186000
25,2.503900e+01,41.668552,4.591080e-01,-9.180000
26,2.604000e+01,41.750874,4.596580e-01,-9.186000
27,2.704000e+01,41.834499,4.602070e-01,-9.186000
28,2.804000e+01,41.921486,4.606950e-01,-9.186000
29,2.903800e+01,42.006233,4.611840e-01,-9.186000
30,3.003500e+01,42.089092,4.617330e-01,-9.186000
31,3.103800e+01,42.169727,4.621600e-01,-9.180000
32,3.204600e+01,42.247387,4.627090e-01,-9.186000
33,3.304400e+01,42.323837,4.631370e-01,-9.186000
34,3.404500e+01,42.407913,4.636250e-01,-9.186000
35,3.504200e+01,42.483757,4.641130e-01,-9.180000
36,3.603900e+01,42.554581,4.645400e-01,-9.180000
37,3.703900e+01,42.623325,4.650290e-01,-9.180000
38,3.803800e+01,42.692993,4.653950e-01,-9.180000
39,3.904500e+01,42.762188,4.658830e-01,-9.180000
40,4.003600e+01,42.834026,4.663110e-01,-9.180000
41,4.103700e+01,42.908440,4.666770e-01,-9.180000
42,4.203500e+01,42.981251,4.671040e-01,-9.180000
43,4.303600e+01,43.056904,4.674700e-01,-9.174000
44,4.404500e+01,43.133194,4.678970e-01,-9.180000
45,4.504200e+01,43.210632,4.682640e-01,-9.174000
46,4.604400e+01,43.288891,4.686300e-01,-9.174000
47,4.704400e+01,43.367504,4.689960e-01,-9.174000
48,4.804700e+01,43.443901,4.693620e-01,-9.174000
49,4.904700e+01,43.520596,4.697280e-01,-9.168000
50,5.004200e+01,43.599197,4.700340e-01,-9.168000
51,5.103900e+01,43.673584,4.704000e-01,-9.168000
52,5.204800e+01,43.745834,4.707050e-01,-9.162000
53,5.304900e+01,43.820225,4.710100e-01,-9.168000
54,5.403900e+01,43.893810,4.713150e-01,-9.162000
55,5.504000e+01,43.968464,4.716210e-01,-9.162000
56,5.603600e+01,44.041115,4.719260e-01,-9.156000
57,5.706000e+01,44.115528,4.721700e-01,-9.156000
58,5.803500e+01,44.192276,4.724750e-01,-9.156000
59,5.904000e+01,44.267101,4.727800e-01,-9.150000
60,6.004000e+01,44.342148,4.730240e-01,-9.150000
61,6.105200e+01,44.419258,4.732690e-01,-9.144000
62,6.204400e+01,44.493179,4.735740e-01,-9.144000
63,6.304500e+01,44.575684,4.737570e-01,-9.144000
64,6.404400e+01,44.650475,4.738790e-01,-9.138000
65,6.503800e+01,44.723965,4.741230e-01,-9.138000
66,6.606100e+01,44.801231,4.742450e-01,-9.132000
67,6.704700e+01,44.876686,4.744280e-01,-9.132000
68,6.803700e+01,44.953411,4.745500e-01,-9.126000
69,6.903900e+01,45.029079,4.747330e-01,-9.126000
70,7.003500e+01,45.106022,4.749160e-01,-9.120000
71,7.104000e+01,45.178043,4.751000e-01,-9.120000
72,7.203700e+01,45.252007,4.752220e-01,-9.114000
73,7.304100e+01,45.326012,4.753440e-01,-9.114000
74,7.403500e+01,45.400723,4.755270e-01,-9.108000
75,7.504000e+01,45.477211,4.756490e-01,-9.102000
76,7.604000e+01,45.555012,4.757710e-01,-9.102000
77,7.704000e+01,45.628357,4.758320e-01,-9.102000
