Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.600000e-02,5.485940,4.256170e-06,90.324000
1,1.045000e+00,5.496223,4.237550e-06,90.900000
2,2.039000e+00,5.506679,4.190050e-06,90.954000
3,3.039000e+00,5.503709,4.151870e-06,91.530000
4,4.038000e+00,5.505445,4.251520e-06,91.956000
5,5.034000e+00,5.495236,4.316710e-06,90.918000
6,6.032000e+00,5.500599,4.299010e-06,90.240000
7,7.034000e+00,5.501732,4.303670e-06,90.876000
8,8.034000e+00,5.502718,4.354890e-06,91.866000
9,9.039000e+00,5.510589,4.418220e-06,91.920000
10,1.003400e+01,5.512784,4.371660e-06,90.348000
11,1.103200e+01,5.512169,4.208680e-06,89.106000
12,1.203300e+01,5.507861,4.109020e-06,87.990000
13,1.303300e+01,5.505707,4.095990e-06,88.536000
14,1.403100e+01,5.503490,4.153730e-06,89.778000
15,1.503300e+01,5.493293,4.159320e-06,90.486000
16,1.603200e+01,5.494221,4.114610e-06,90.426000
17,1.704000e+01,5.490896,4.194710e-06,90.960000
18,1.804200e+01,5.495129,4.212400e-06,90.288000
19,1.903300e+01,5.497577,4.173290e-06,89.952000
20,2.003200e+01,5.501968,4.248720e-06,89.658000
21,2.103100e+01,5.501762,4.318570e-06,90.564000
22,2.203300e+01,5.502371,4.285040e-06,92.262000
23,2.303300e+01,5.493974,4.285040e-06,93.558000
24,2.403200e+01,5.493059,4.308330e-06,92.586000
25,2.503400e+01,5.488763,4.346510e-06,91.740000
26,2.603300e+01,5.493020,4.383760e-06,91.206000
27,2.703900e+01,5.498210,4.383760e-06,90.426000
28,2.803400e+01,5.502314,4.423810e-06,90.282000
29,2.903200e+01,5.501907,4.493660e-06,90.678000
30,3.003300e+01,5.501033,4.516940e-06,92.148000
31,3.103900e+01,5.499901,4.552330e-06,92.640000
32,3.204000e+01,5.502727,4.549540e-06,93.054000
