Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,4.200000e-02,6.998497,4.440580e-06,91.386000
1,1.536000e+00,7.002809,3.978640e-06,91.122000
2,3.037000e+00,7.032464,3.952560e-06,93.630000
3,4.537000e+00,7.025023,3.848250e-06,91.254000
4,6.034000e+00,7.010214,4.235680e-06,87.186000
5,7.539000e+00,6.986083,4.716250e-06,91.188000
6,9.038000e+00,6.968951,4.477830e-06,90.708000
7,1.053800e+01,7.008849,4.515080e-06,87.276000
8,1.203800e+01,7.049153,4.254310e-06,90.000000
9,1.354600e+01,7.060706,4.339990e-06,90.174000
10,1.503800e+01,7.036829,4.202160e-06,91.998000
11,1.654300e+01,7.063036,4.414500e-06,88.986000
12,1.803800e+01,7.037083,4.142550e-06,94.188000
13,1.953600e+01,7.013525,4.172350e-06,91.698000
14,2.103600e+01,7.018986,4.429400e-06,90.588000
15,2.253700e+01,7.068083,4.392150e-06,91.362000
16,2.403600e+01,7.043774,4.380970e-06,90.600000
17,2.553500e+01,7.067711,4.284110e-06,93.258000
18,2.703600e+01,7.123070,4.433120e-06,89.364000
19,2.853600e+01,7.072353,4.600760e-06,95.202000
20,3.004100e+01,7.040227,4.243130e-06,91.098000
21,3.154000e+01,7.093129,4.626840e-06,95.670000
22,3.303800e+01,7.108394,4.727420e-06,91.698000
23,3.454400e+01,7.080401,4.172350e-06,87.900000
24,3.603600e+01,7.104569,4.150000e-06,90.000000
25,3.753700e+01,7.093938,4.146280e-06,91.392000
26,3.903900e+01,7.109932,4.094120e-06,91.320000
27,4.054400e+01,7.066322,4.418220e-06,91.350000
28,4.203900e+01,7.126304,4.373520e-06,93.972000
29,4.355300e+01,7.110003,4.112750e-06,95.136000
30,4.503700e+01,7.135077,4.336270e-06,91.206000
31,4.653800e+01,7.138779,4.448030e-06,89.328000
32,4.803800e+01,7.133464,4.325090e-06,90.000000
33,4.954100e+01,7.108395,4.615660e-06,90.570000
34,5.103700e+01,7.133004,4.645470e-06,89.922000
35,5.254600e+01,7.157903,4.313920e-06,89.004000
36,5.404400e+01,7.159369,4.276660e-06,93.006000
37,5.553800e+01,7.194628,4.146280e-06,93.372000
38,5.703600e+01,7.177147,4.444300e-06,91.596000
39,5.853600e+01,7.164790,4.205880e-06,90.000000
40,6.003900e+01,7.165498,4.071770e-06,90.912000
41,6.153700e+01,7.151929,4.407050e-06,94.848000
42,6.303500e+01,7.156206,4.325090e-06,85.500000
43,6.453600e+01,7.187236,4.094120e-06,91.590000
44,6.603700e+01,7.182693,4.258040e-06,94.728000
45,6.753700e+01,7.202469,4.325090e-06,92.898000
46,6.903700e+01,7.212642,4.217060e-06,89.958000
47,7.053500e+01,7.208879,4.656640e-06,90.042000
48,7.203800e+01,7.217466,4.228230e-06,93.048000
49,7.354400e+01,7.218052,4.462930e-06,97.710000
50,7.503900e+01,7.233033,4.462930e-06,90.672000
51,7.653700e+01,7.241557,4.462930e-06,92.388000
52,7.803600e+01,7.241055,4.570960e-06,93.432000
53,7.953600e+01,7.215054,4.485280e-06,86.706000
54,8.103500e+01,7.170386,4.388420e-06,95.154000
55,8.253600e+01,7.173534,4.183530e-06,92.724000
56,8.403800e+01,7.258264,4.123930e-06,93.072000
57,8.554800e+01,7.273721,4.462930e-06,88.830000
58,8.704200e+01,7.292276,4.008440e-06,90.924000
59,8.853800e+01,7.231221,4.380970e-06,93.534000
60,9.003700e+01,7.229506,3.952560e-06,92.976000
61,9.153500e+01,7.274487,4.284110e-06,93.438000
62,9.303700e+01,7.274227,4.660370e-06,88.272000
63,9.454000e+01,7.282310,4.392150e-06,93.708000
64,9.603500e+01,7.282116,4.567240e-06,93.642000
65,9.753600e+01,7.291246,4.462930e-06,88.746000
66,9.903500e+01,7.288720,3.956290e-06,95.040000
67,1.005350e+02,7.286080,4.194710e-06,87.204000
68,1.020410e+02,7.258663,4.205880e-06,91.200000
69,1.035430e+02,7.305669,4.284110e-06,92.394000
70,1.050380e+02,7.335386,4.451750e-06,90.336000
71,1.065360e+02,7.326191,4.414500e-06,91.098000
72,1.080350e+02,7.325371,4.172350e-06,94.116000
73,1.095370e+02,7.298597,4.339990e-06,86.652000
74,1.110380e+02,7.244493,4.675270e-06,90.078000
75,1.125410e+02,7.326235,4.280390e-06,89.298000
76,1.140480e+02,7.347752,4.313920e-06,89.004000
77,1.155360e+02,7.337873,3.796090e-06,89.118000
78,1.170430e+02,7.391479,4.269210e-06,89.040000
79,1.185380e+02,7.325560,4.205880e-06,93.108000
