Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,4.20E-02,54.535324,0.00E+00,-90
1,2.99E-01,54.514481,6.10E-05,-90
2,5.40E-01,54.492535,0.00E+00,-45
3,7.81E-01,54.472275,0.00E+00,45
4,1.04E+00,54.441368,0.00E+00,90
5,1.29E+00,54.418549,0.00E+00,90
6,1.53E+00,54.397583,0.00E+00,135
7,1.78E+00,54.376209,0.00E+00,180
8,2.04E+00,54.343784,0.00E+00,180
9,2.28E+00,54.321636,0.00E+00,-135
10,2.53E+00,54.299412,0.00E+00,-90
11,2.80E+00,54.277756,0.00E+00,-90
12,3.04E+00,54.246025,6.10E-05,-116.562
13,3.29E+00,54.224144,6.10E-05,-90
14,3.54E+00,54.203331,6.10E-05,-90
15,3.79E+00,54.183109,6.10E-05,180
16,4.04E+00,54.154232,6.10E-05,0
17,4.30E+00,54.134068,6.10E-05,0
18,4.54E+00,54.113079,0.00E+00,90
19,4.80E+00,54.092751,6.10E-05,90
20,5.04E+00,54.061642,6.10E-05,135
21,5.28E+00,54.04155,0.00E+00,135
22,5.54E+00,54.022308,0.00E+00,180
23,5.79E+00,54.003109,0.00E+00,-135
24,6.03E+00,53.974602,0.00E+00,-90
25,6.29E+00,53.955791,0.00E+00,-90
26,6.54E+00,53.937859,0.00E+00,0
27,6.79E+00,53.920296,0.00E+00,0
28,7.05E+00,53.893909,0.00E+00,90
29,7.29E+00,53.87571,0.00E+00,90
30,7.55E+00,53.858665,0.00E+00,63.438
31,7.79E+00,53.834858,0.00E+00,135
32,8.05E+00,53.818848,6.10E-05,63.438
33,8.29E+00,53.80212,0.00E+00,180
34,8.55E+00,53.786007,6.10E-05,116.562
35,8.79E+00,53.762775,6.10E-05,153.438
36,9.05E+00,53.746445,6.10E-05,180
37,9.29E+00,53.731293,6.10E-05,-153.438
38,9.55E+00,53.717533,6.10E-05,-135
39,9.79E+00,53.695969,6.10E-05,-116.562
40,1.00E+01,53.680817,6.10E-05,-90
41,1.03E+01,53.665802,6.10E-05,-90
42,1.05E+01,53.650661,6.10E-05,-90
43,1.08E+01,53.627544,6.10E-05,0
44,1.10E+01,53.613548,6.10E-05,0
45,1.13E+01,53.598423,0.00E+00,116.562
46,1.15E+01,53.584782,0.00E+00,90
47,1.18E+01,53.56546,0.00E+00,135
48,1.20E+01,53.551182,0.00E+00,180
49,1.23E+01,53.538521,0.00E+00,180
50,1.25E+01,53.525337,0.00E+00,-135
51,1.28E+01,53.505024,0.00E+00,-90
52,1.30E+01,53.491333,0.00E+00,-90
53,1.33E+01,53.478874,0.00E+00,0
54,1.35E+01,53.465836,0.00E+00,0
55,1.38E+01,53.445553,0.00E+00,45
56,1.40E+01,53.432644,0.00E+00,90
57,1.43E+01,53.419289,0.00E+00,90
58,1.45E+01,53.399654,0.00E+00,135
59,1.48E+01,53.387493,6.10E-05,45
60,1.50E+01,53.375965,0.00E+00,180
61,1.53E+01,53.363609,0.00E+00,-135
62,1.55E+01,53.3437,6.10E-05,180
63,1.58E+01,53.331173,6.10E-05,-153.438
64,1.60E+01,53.318153,6.10E-05,180
65,1.63E+01,53.305161,6.10E-05,-135
66,1.65E+01,53.286404,0.00E+00,-63.438
67,1.68E+01,53.273285,6.10E-05,-90
68,1.70E+01,53.260605,6.10E-05,-45
69,1.73E+01,53.248058,0.00E+00,0
70,1.75E+01,53.2267,6.10E-05,0
71,1.78E+01,53.213085,0.00E+00,0
72,1.80E+01,53.199322,0.00E+00,90
73,1.83E+01,53.184872,0.00E+00,135
74,1.85E+01,53.162888,0.00E+00,135
75,1.88E+01,53.148773,0.00E+00,180
76,1.90E+01,53.134876,0.00E+00,180
77,1.93E+01,53.120373,0.00E+00,-135
78,1.95E+01,53.096928,0.00E+00,-90
79,1.98E+01,53.082867,0.00E+00,-90
80,2.00E+01,53.068054,0.00E+00,-45
81,2.03E+01,53.052517,0.00E+00,-45
82,2.05E+01,53.0289,0.00E+00,0
83,2.08E+01,53.013149,0.00E+00,0
84,2.10E+01,52.996426,0.00E+00,90
85,2.13E+01,52.972137,0.00E+00,90
86,2.15E+01,52.95509,0.00E+00,90
87,2.18E+01,52.938671,0.00E+00,90
88,2.20E+01,52.920559,0.00E+00,180
89,2.23E+01,52.895065,6.10E-05,90
90,2.25E+01,52.876522,6.10E-05,0
91,2.28E+01,52.859711,0.00E+00,180
92,2.31E+01,52.841728,6.10E-05,153.438
93,2.33E+01,52.81356,0.00E+00,-90
94,2.35E+01,52.794586,6.10E-05,153.438
95,2.38E+01,52.777561,0.00E+00,-90
96,2.41E+01,52.758499,6.10E-05,-90
97,2.43E+01,52.730865,6.10E-05,-63.438
98,2.45E+01,52.711212,6.10E-05,-116.562
99,2.48E+01,52.692253,6.10E-05,-90
100,2.50E+01,52.672253,6.10E-05,0
101,2.53E+01,52.644287,6.10E-05,26.562
102,2.55E+01,52.624622,0.00E+00,116.562
103,2.58E+01,52.604973,6.10E-05,90
104,2.60E+01,52.585625,6.10E-05,45
105,2.63E+01,52.556427,0.00E+00,180
106,2.65E+01,52.535458,6.10E-05,90
107,2.68E+01,52.515388,6.10E-05,116.562
108,2.70E+01,52.494358,6.10E-05,135
109,2.73E+01,52.464809,6.10E-05,180
110,2.75E+01,52.445034,6.10E-05,180
111,2.78E+01,52.424934,6.10E-05,-135
112,2.80E+01,52.394386,6.10E-05,-135
113,2.83E+01,52.374096,6.10E-05,-90
114,2.85E+01,52.354408,6.10E-05,-90
115,2.88E+01,52.333717,6.10E-05,-45
116,2.90E+01,52.303635,6.10E-05,-90
117,2.93E+01,52.283482,6.10E-05,0
118,2.95E+01,52.264999,6.10E-05,0
119,2.98E+01,52.246208,6.10E-05,0
120,3.00E+01,52.216843,6.10E-05,90
121,3.03E+01,52.197418,6.10E-05,90
122,3.05E+01,52.17783,6.10E-05,90
123,3.08E+01,52.1591,6.10E-05,135
124,3.10E+01,52.130444,0.00E+00,180
125,3.13E+01,52.111149,6.10E-05,180
126,3.15E+01,52.092628,0.00E+00,-135
127,3.18E+01,52.073536,0.00E+00,-90
128,3.20E+01,52.046841,6.10E-05,-90
129,3.23E+01,52.027027,0.00E+00,-45
130,3.25E+01,52.008556,0.00E+00,-45
131,3.28E+01,51.991611,0.00E+00,0
132,3.30E+01,51.963276,0.00E+00,45
133,3.33E+01,51.944443,0.00E+00,90
134,3.35E+01,51.927876,0.00E+00,90
135,3.38E+01,51.909565,0.00E+00,135
136,3.40E+01,51.883266,0.00E+00,135
137,3.43E+01,51.866127,0.00E+00,180
138,3.45E+01,51.848763,0.00E+00,180
139,3.48E+01,51.830952,0.00E+00,-135
140,3.50E+01,51.806736,0.00E+00,-135
141,3.53E+01,51.788929,0.00E+00,-90
142,3.55E+01,51.772701,0.00E+00,-90
143,3.58E+01,51.749062,0.00E+00,0
144,3.60E+01,51.733356,0.00E+00,0
145,3.63E+01,51.718586,0.00E+00,45
146,3.65E+01,51.703114,0.00E+00,45
147,3.68E+01,51.680901,0.00E+00,90
148,3.70E+01,51.664642,0.00E+00,90
149,3.73E+01,51.648819,6.10E-05,90
150,3.76E+01,51.632641,6.10E-05,116.562
151,3.78E+01,51.610638,6.10E-05,63.438
152,3.80E+01,51.594597,6.10E-05,116.562
153,3.83E+01,51.581093,6.10E-05,135
154,3.86E+01,51.567184,6.10E-05,135
155,3.88E+01,51.54628,6.10E-05,180
156,3.90E+01,51.531086,6.10E-05,-135
157,3.93E+01,51.515999,6.10E-05,-135
158,3.95E+01,51.502518,6.10E-05,-90
159,3.98E+01,51.481155,6.10E-05,-90
160,4.00E+01,51.468178,0.00E+00,26.562
161,4.03E+01,51.456089,6.10E-05,0
162,4.05E+01,51.443085,6.10E-05,45
163,4.08E+01,51.421387,0.00E+00,90
