Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.800000e-02,11.100925,5.925330e-01,-14.604000
1,2.880000e-01,11.096698,5.922280e-01,-14.634000
2,5.400000e-01,11.088576,5.926550e-01,-14.664000
3,7.910000e-01,11.079407,5.921670e-01,-14.628000
4,1.035000e+00,11.076912,5.920450e-01,-14.682000
5,1.287000e+00,11.074957,5.921060e-01,-14.700000
6,1.538000e+00,11.066950,5.919840e-01,-14.706000
7,1.790000e+00,11.052508,5.918010e-01,-14.712000
8,2.039000e+00,11.034398,5.918010e-01,-14.712000
9,2.289000e+00,11.024083,5.916180e-01,-14.718000
10,2.535000e+00,11.013127,5.916790e-01,-14.718000
11,2.800000e+00,11.007121,5.916790e-01,-14.658000
12,3.047000e+00,10.990722,5.916180e-01,-14.706000
13,3.283000e+00,10.973030,5.916790e-01,-14.700000
14,3.538000e+00,10.957989,5.916790e-01,-14.700000
15,3.789000e+00,10.944804,5.916790e-01,-14.694000
16,4.040000e+00,10.929925,5.917400e-01,-14.688000
17,4.290000e+00,10.915842,5.921670e-01,-14.646000
18,4.540000e+00,10.901466,5.922280e-01,-14.712000
19,4.792000e+00,10.888466,5.919230e-01,-14.718000
20,5.038000e+00,10.878723,5.918620e-01,-14.664000
21,5.290000e+00,10.881362,5.920450e-01,-14.730000
22,5.538000e+00,10.883502,5.919840e-01,-14.736000
23,5.787000e+00,10.886061,5.918010e-01,-14.736000
24,6.040000e+00,10.893018,5.917400e-01,-14.742000
25,6.288000e+00,10.893222,5.918010e-01,-14.736000
26,6.539000e+00,10.895226,5.917400e-01,-14.730000
27,6.789000e+00,10.906416,5.917400e-01,-14.724000
28,7.042000e+00,10.917957,5.918010e-01,-14.724000
29,7.289000e+00,10.923633,5.918010e-01,-14.712000
30,7.539000e+00,10.927494,5.916790e-01,-14.706000
31,7.791000e+00,10.938740,5.923500e-01,-14.712000
32,8.033000e+00,10.945277,5.918010e-01,-14.694000
33,8.287000e+00,10.957839,5.919230e-01,-14.724000
34,8.539000e+00,10.971014,5.920450e-01,-14.730000
35,8.789000e+00,10.988476,5.921670e-01,-14.664000
36,9.036000e+00,10.998963,5.921670e-01,-14.736000
37,9.288000e+00,11.008991,5.920450e-01,-14.748000
38,9.540000e+00,11.019171,5.918620e-01,-14.748000
39,9.788000e+00,11.041152,5.916790e-01,-14.754000
40,1.004700e+01,11.057673,5.915570e-01,-14.754000
41,1.028700e+01,11.068840,5.914340e-01,-14.754000
42,1.054100e+01,11.080194,5.915570e-01,-14.742000
43,1.078500e+01,11.113023,5.913730e-01,-14.742000
44,1.103400e+01,11.140708,5.914340e-01,-14.730000
45,1.128900e+01,11.166085,5.915570e-01,-14.718000
46,1.154400e+01,11.188735,5.922280e-01,-14.718000
47,1.178900e+01,11.221857,5.916180e-01,-14.700000
48,1.203500e+01,11.243294,5.915570e-01,-14.688000
49,1.229000e+01,11.262764,5.919840e-01,-14.736000
50,1.254100e+01,11.278738,5.918620e-01,-14.676000
51,1.279000e+01,11.301980,5.917400e-01,-14.748000
52,1.303400e+01,11.319703,5.916790e-01,-14.754000
53,1.328300e+01,11.339701,5.916180e-01,-14.748000
54,1.354500e+01,11.366788,5.914960e-01,-14.748000
55,1.378500e+01,11.388419,5.914960e-01,-14.736000
56,1.404000e+01,11.405446,5.915570e-01,-14.670000
57,1.428900e+01,11.417517,5.916790e-01,-14.730000
58,1.454200e+01,11.437738,5.914960e-01,-14.718000
59,1.478600e+01,11.457303,5.922890e-01,-14.688000
60,1.503200e+01,11.475548,5.915570e-01,-14.694000
61,1.529000e+01,11.488347,5.916180e-01,-14.694000
62,1.553900e+01,11.506990,5.916180e-01,-14.700000
63,1.579200e+01,11.519292,5.919230e-01,-14.712000
64,1.604000e+01,11.534588,5.918010e-01,-14.712000
65,1.629000e+01,11.546555,5.916790e-01,-14.718000
66,1.654000e+01,11.570698,5.917400e-01,-14.718000
67,1.678600e+01,11.592565,5.917400e-01,-14.724000
68,1.703300e+01,11.608389,5.916790e-01,-14.724000
69,1.729000e+01,11.620987,5.916790e-01,-14.718000
70,1.753500e+01,11.643636,5.916180e-01,-14.712000
71,1.779000e+01,11.663225,5.914960e-01,-14.718000
72,1.803800e+01,11.683823,5.914340e-01,-14.706000
73,1.829600e+01,11.709040,5.914960e-01,-14.700000
74,1.854000e+01,11.744333,5.915570e-01,-14.664000
75,1.878500e+01,11.766173,5.915570e-01,-14.676000
76,1.903500e+01,11.785206,5.917400e-01,-14.664000
77,1.929200e+01,11.808382,5.918010e-01,-14.652000
78,1.954000e+01,11.839960,5.918620e-01,-14.640000
79,1.979000e+01,11.855155,5.924110e-01,-14.670000
80,2.003800e+01,11.878067,5.921670e-01,-14.616000
81,2.029600e+01,11.907415,5.924720e-01,-14.676000
82,2.053900e+01,11.921640,5.922280e-01,-14.670000
83,2.079000e+01,11.935753,5.922280e-01,-14.676000
84,2.103400e+01,11.951389,5.921670e-01,-14.676000
85,2.129300e+01,11.978417,5.921060e-01,-14.670000
86,2.153500e+01,12.000677,5.921060e-01,-14.670000
87,2.178900e+01,12.024659,5.919230e-01,-14.664000
88,2.203900e+01,12.044847,5.920450e-01,-14.652000
89,2.229000e+01,12.069853,5.920450e-01,-14.646000
90,2.254000e+01,12.086832,5.920450e-01,-14.634000
91,2.279000e+01,12.099878,5.920450e-01,-14.622000
92,2.304000e+01,12.113705,5.920450e-01,-14.652000
93,2.328600e+01,12.137706,5.926550e-01,-14.628000
94,2.353500e+01,12.148652,5.926550e-01,-14.586000
95,2.379000e+01,12.162833,5.922890e-01,-14.634000
96,2.404000e+01,12.175080,5.924720e-01,-14.634000
97,2.428900e+01,12.189237,5.922890e-01,-14.634000
98,2.454000e+01,12.199913,5.922280e-01,-14.634000
99,2.478900e+01,12.213481,5.921670e-01,-14.634000
100,2.503800e+01,12.228731,5.922280e-01,-14.622000
